cell,indep_best_val,indep_best_val_2x2,hazard_best_val,hazard_best_epoch,delta,P1_no_harm,indep_mono_viol,hazard_mono_viol,P2_monotone,P3_holdout_order_same,cascade_pr_max_abs_delta,P4_pr_within_0p01,hazard_cascade_pr,indep_cascade_pr
static_mask,0.10824,0.1082,0.10796,5,-0.00027,True,0.06767,0.0,True,True,0.0037,True,0.956 0.926 0.908 0.922,0.956 0.923 0.904 0.921
static_timing,0.09808,0.0981,0.09796,5,-0.00012,True,0.07798,0.0,True,True,0.0018,True,0.959 0.939 0.920 0.934,0.959 0.941 0.920 0.934
dynamic_mask,0.18774,0.1877,0.18798,5,0.00024,True,0.03961,0.0,True,True,0.0024,True,0.901 0.904 0.895 0.917,0.901 0.901 0.895 0.916
dynamic_timing,0.16529,0.1653,0.16508,5,-0.0002,True,0.06339,0.0,True,True,0.0028,True,0.919 0.917 0.904 0.924,0.919 0.914 0.906 0.924

cell,storm,hazard_loss,indep_loss,delta,hazard_mono_viol,indep_mono_viol,cascade_pr_max_abs_delta
static_mask,syn_ts_914_6_1p2955,0.0856,0.08548,0.00012,0.0,0.06871,0.0084
static_mask,syn_ts_258_9_3p0022,0.12522,0.1248,0.00042,0.0,0.06652,0.0013
static_mask,syn_ts_808_27_3p7885,0.14019,0.14004,0.00016,0.0,0.06511,0.0015
static_mask,geoclaw_2050,0.14227,0.14061,0.00166,0.0,0.06263,0.0011
static_mask,syn_ts_605_5_3p7563,0.20845,0.20517,0.00327,0.0,0.06052,0.0015
static_timing,syn_ts_914_6_1p2955,0.07361,0.07298,0.00064,0.0,0.07674,0.0029
static_timing,syn_ts_808_27_3p7885,0.11282,0.11366,-0.00084,0.0,0.08044,0.001
static_timing,syn_ts_258_9_3p0022,0.12114,0.12119,-5e-05,0.0,0.07568,0.0014
static_timing,geoclaw_2050,0.13596,0.13506,0.00089,0.0,0.0712,0.0022
static_timing,syn_ts_605_5_3p7563,0.19909,0.20009,-0.001,0.0,0.06779,0.005
dynamic_mask,syn_ts_914_6_1p2955,0.12792,0.1262,0.00172,0.0,0.03663,0.005
dynamic_mask,syn_ts_258_9_3p0022,0.27111,0.27341,-0.0023,0.0,0.04176,0.0018
dynamic_mask,geoclaw_2050,0.32823,0.33227,-0.00404,0.0,0.04354,0.0014
dynamic_mask,syn_ts_808_27_3p7885,0.38188,0.38056,0.00131,0.0,0.04558,0.0034
dynamic_mask,syn_ts_605_5_3p7563,0.48768,0.4785,0.00918,0.0,0.06141,0.0035
dynamic_timing,syn_ts_914_6_1p2955,0.10624,0.10478,0.00146,0.0,0.05909,0.0086
dynamic_timing,syn_ts_258_9_3p0022,0.25896,0.26391,-0.00495,0.0,0.06367,0.0042
dynamic_timing,syn_ts_808_27_3p7885,0.30842,0.32292,-0.0145,0.0,0.06552,0.0034
dynamic_timing,geoclaw_2050,0.31999,0.32883,-0.00885,0.0,0.06113,0.0033
dynamic_timing,syn_ts_605_5_3p7563,0.43028,0.44143,-0.01115,0.0,0.06934,0.004
