scenario,mechanism,legacy_mean,jesse_mean
nyc_geoclaw_2026,flood,206.596,198.67
nyc_geoclaw_2026,inter,937.787,898.229
nyc_geoclaw_2026,intra_fuel,296.29405840886204,304.9486404833837
nyc_geoclaw_2026,intra_power,0.0,2.3856209150326797
nyc_geoclaw_2026,intra_subway,33.422,29.25025025025025
nyc_geoclaw_2026,intra_telecom,468.866,467.447
nyc_geoclaw_2026,intra_water,29.755,29.531
nyc_geoclaw_2050,flood,295.516,284.466
nyc_geoclaw_2050,inter,1126.327,1024.558
nyc_geoclaw_2050,intra_fuel,242.87887887887888,289.987987987988
nyc_geoclaw_2050,intra_power,0.0,5.354879594423321
nyc_geoclaw_2050,intra_subway,22.565,24.946
nyc_geoclaw_2050,intra_telecom,469.211,512.822
nyc_geoclaw_2050,intra_water,29.302,29.384
nyc_geoclaw_2080,flood,415.969,399.961
nyc_geoclaw_2080,inter,1336.512,1244.23
nyc_geoclaw_2080,intra_fuel,221.192,271.92
nyc_geoclaw_2080,intra_power,0.0,6.523972602739726
nyc_geoclaw_2080,intra_subway,6.226,10.680080482897385
nyc_geoclaw_2080,intra_telecom,503.665,526.788
nyc_geoclaw_2080,intra_water,25.505,27.719
nyc_syn_ts_156_15_1p066,flood,162.018,160.428
nyc_syn_ts_156_15_1p066,inter,586.454,584.573
nyc_syn_ts_156_15_1p066,intra_fuel,317.63143989431967,322.3772609819122
nyc_syn_ts_156_15_1p066,intra_power,0.0,1.0
nyc_syn_ts_156_15_1p066,intra_subway,43.849,36.123
nyc_syn_ts_156_15_1p066,intra_telecom,375.194,383.449
nyc_syn_ts_156_15_1p066,intra_water,26.934,27.097
nyc_syn_ts_173_2_0p8859,flood,57.977,57.977
nyc_syn_ts_173_2_0p8859,inter,50.292,50.792
nyc_syn_ts_173_2_0p8859,intra_power,0.0,2.0
nyc_syn_ts_173_2_0p8859,intra_subway,2.0834202294056308,2.0834202294056308
nyc_syn_ts_173_2_0p8859,intra_telecom,8.383,8.423
nyc_syn_ts_173_2_0p8859,intra_water,8.204892966360855,8.250764525993883
nyc_syn_ts_192_15_2p5752,flood,209.632,206.51
nyc_syn_ts_192_15_2p5752,inter,703.964,692.342
nyc_syn_ts_192_15_2p5752,intra_fuel,309.5211726384365,318.7697297297297
nyc_syn_ts_192_15_2p5752,intra_power,0.0,1.0795454545454546
nyc_syn_ts_192_15_2p5752,intra_subway,44.643,31.761
nyc_syn_ts_192_15_2p5752,intra_telecom,444.388,453.487
nyc_syn_ts_192_15_2p5752,intra_water,28.185,28.134
nyc_syn_ts_192_7_1p0240,flood,69.391,69.388
nyc_syn_ts_192_7_1p0240,inter,81.981,82.417
nyc_syn_ts_192_7_1p0240,intra_power,0.0,2.0
nyc_syn_ts_192_7_1p0240,intra_subway,4.92,4.92
nyc_syn_ts_192_7_1p0240,intra_telecom,16.388,16.422
nyc_syn_ts_192_7_1p0240,intra_water,9.636546184738956,9.661646586345382
nyc_syn_ts_258_9_3p0022,flood,352.514,344.328
nyc_syn_ts_258_9_3p0022,inter,1047.195,951.252
nyc_syn_ts_258_9_3p0022,intra_fuel,267.41229838709677,309.7865055387714
nyc_syn_ts_258_9_3p0022,intra_power,0.0,5.265263157894736
nyc_syn_ts_258_9_3p0022,intra_subway,12.834,11.638
nyc_syn_ts_258_9_3p0022,intra_telecom,471.375,510.637
nyc_syn_ts_258_9_3p0022,intra_water,27.584,28.536
nyc_syn_ts_321_19_1p7614,flood,108.364,108.036
nyc_syn_ts_321_19_1p7614,inter,244.405,241.199
nyc_syn_ts_321_19_1p7614,intra_fuel,326.21604938271605,326.9012345679012
nyc_syn_ts_321_19_1p7614,intra_power,0.0,2.0
nyc_syn_ts_321_19_1p7614,intra_subway,42.481,42.347
nyc_syn_ts_321_19_1p7614,intra_telecom,110.523,109.121
nyc_syn_ts_321_19_1p7614,intra_water,17.028,16.802
nyc_syn_ts_436_11_1p3524,flood,126.807,126.164
nyc_syn_ts_436_11_1p3524,inter,387.865,383.712
nyc_syn_ts_436_11_1p3524,intra_fuel,323.6096385542169,324.69397590361444
nyc_syn_ts_436_11_1p3524,intra_power,0.0,2.0
nyc_syn_ts_436_11_1p3524,intra_subway,41.903,41.019
nyc_syn_ts_436_11_1p3524,intra_telecom,222.351,220.267
nyc_syn_ts_436_11_1p3524,intra_water,21.824,21.745
nyc_syn_ts_463_29_1p6644,flood,109.817,109.464
nyc_syn_ts_463_29_1p6644,inter,257.91,254.782
nyc_syn_ts_463_29_1p6644,intra_fuel,326.2204301075269,326.9516129032258
nyc_syn_ts_463_29_1p6644,intra_power,0.0,2.0
nyc_syn_ts_463_29_1p6644,intra_subway,42.26,42.113
nyc_syn_ts_463_29_1p6644,intra_telecom,121.144,119.667
nyc_syn_ts_463_29_1p6644,intra_water,17.389,17.192
nyc_syn_ts_514_13_2p7829,flood,315.979,308.992
nyc_syn_ts_514_13_2p7829,inter,980.298,916.113
nyc_syn_ts_514_13_2p7829,intra_fuel,279.24924012158056,314.2391523713421
nyc_syn_ts_514_13_2p7829,intra_power,0.0,5.456730769230769
nyc_syn_ts_514_13_2p7829,intra_subway,17.67,18.105
nyc_syn_ts_514_13_2p7829,intra_telecom,473.938,509.714
nyc_syn_ts_514_13_2p7829,intra_water,28.277,28.437
nyc_syn_ts_570_2_1p5351,flood,82.345,82.296
nyc_syn_ts_570_2_1p5351,inter,114.479,113.138
nyc_syn_ts_570_2_1p5351,intra_power,0.0,2.0
nyc_syn_ts_570_2_1p5351,intra_subway,35.314,35.377
nyc_syn_ts_570_2_1p5351,intra_telecom,24.942,24.68
nyc_syn_ts_570_2_1p5351,intra_water,11.294294294294295,11.18018018018018
nyc_syn_ts_605_5_3p7563,flood,611.536,594.772
nyc_syn_ts_605_5_3p7563,inter,1151.541,1248.273
nyc_syn_ts_605_5_3p7563,intra_fuel,245.209,299.621
nyc_syn_ts_605_5_3p7563,intra_power,0.0,9.385492227979274
nyc_syn_ts_605_5_3p7563,intra_subway,10.482,9.951794871794872
nyc_syn_ts_605_5_3p7563,intra_telecom,510.724,573.942
nyc_syn_ts_605_5_3p7563,intra_water,22.705,25.798
nyc_syn_ts_662_3_0p9973,flood,56.658,56.658
nyc_syn_ts_662_3_0p9973,inter,46.946,47.446
nyc_syn_ts_662_3_0p9973,intra_power,0.0,2.0
nyc_syn_ts_662_3_0p9973,intra_subway,2.0981856990394876,2.0981856990394876
nyc_syn_ts_662_3_0p9973,intra_telecom,7.713,7.753
nyc_syn_ts_662_3_0p9973,intra_water,8.054136874361593,8.100102145045966
nyc_syn_ts_708_13_1p1567,flood,89.178,89.077
nyc_syn_ts_708_13_1p1567,inter,130.361,128.388
nyc_syn_ts_708_13_1p1567,intra_power,0.0,2.0
nyc_syn_ts_708_13_1p1567,intra_subway,40.741,40.699
