scenario,wet_nodes,ks_stat,ks_p,sigma_ratio,direct_mean_legacy,direct_mean_jesse,mean_legacy,sigma_legacy,p50_legacy,p90_legacy,p99_legacy,min_legacy,max_legacy,mean_jesse,sigma_jesse,p50_jesse,p90_jesse,p99_jesse,min_jesse,max_jesse,crash_frac_1000_legacy,crash_frac_1000_jesse,crash_frac_1200_legacy,crash_frac_1200_jesse,crash_frac_1500_legacy,crash_frac_1500_jesse
nyc_syn_ts_173_2_0p8859,108.0,0.008,0.9999999999999962,1.0094672653610932,57.977,57.977,126.699,43.825804043965924,118.0,191.10000000000002,241.01,61.0,248.0,127.304,44.240714560513425,118.0,192.0,242.0,61.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_810_14_1p1460,108.0,0.008,0.9999999999999962,1.0094885607787907,57.935,57.935,126.605,43.844512955628964,118.0,191.10000000000002,241.01,61.0,248.0,127.21,44.26053428162492,118.0,192.0,242.0,61.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_662_3_0p9973,108.0,0.008,0.9999999999999962,1.012409307285671,56.658,56.658,121.168,40.72962900246795,115.0,180.10000000000002,238.01999999999998,55.0,247.0,121.773,41.235055484390955,115.0,182.0,240.0,55.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_192_7_1p0240,126.0,0.007,0.9999999999999997,1.0095324925493703,69.391,69.388,182.278,54.448796014121264,179.0,252.0,282.03,74.0,306.0,182.792,54.96782875644806,180.0,253.0,290.0,74.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_570_2_1p5351,142.0,0.02,0.9883339509983219,0.9936770995817753,82.345,82.296,268.363,54.02004624578172,287.0,319.0,362.01,104.0,378.0,266.684,53.67848287278175,285.0,316.0,363.0,104.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_708_13_1p1567,149.0,0.041,0.37012017606173,0.992606306939024,89.178,89.077,302.846,49.33049545445273,312.0,361.0,384.03,113.0,453.0,300.148,48.965760912516636,311.0,359.0,380.01,113.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0
nyc_syn_ts_914_6_1p2955,155.0,0.047,0.21939649929677082,0.9968081001755734,91.344,91.222,313.261,62.92906280841902,317.0,367.0,397.02,149.0,1601.0,310.053,62.728199543889495,315.0,365.0,392.06999999999994,149.0,1601.0,0.001,0.001,0.001,0.001,0.001,0.001
nyc_syn_ts_321_19_1p7614,186.0,0.058,0.06917625399020766,1.0021962815570167,108.364,108.036,575.648,462.24743892291144,382.0,1606.2,1687.02,232.0,1714.0,570.495,463.26266444779606,380.0,1603.0,1684.02,190.0,1715.0,0.162,0.162,0.162,0.162,0.162,0.162
nyc_syn_ts_463_29_1p6644,190.0,0.058,0.06917625399020766,1.0024265214255894,109.817,109.464,609.197,486.6308681051715,386.0,1616.0,1689.05,232.0,1715.0,604.063,487.8116883329819,383.0,1612.0,1687.02,190.0,1733.0,0.186,0.186,0.186,0.186,0.186,0.186
nyc_syn_ts_436_11_1p3524,200.0,0.064,0.033253124816560224,1.0045291793908957,126.807,126.164,935.048,604.9786284132992,470.0,1680.0,1731.01,249.0,1783.0,927.689,607.7186851490411,459.0,1676.0,1731.01,207.0,1767.0,0.415,0.415,0.415,0.415,0.415,0.415
nyc_syn_ts_156_15_1p066,242.0,0.079,0.0038826726503625613,1.02517190364381,162.018,160.428,1434.896,507.07417939331856,1700.0,1774.1,1826.06,383.0,1853.0,1441.277,519.8382017772713,1688.0,1779.1,2049.01,381.0,2132.0,0.757,0.757,0.757,0.757,0.757,0.757
nyc_syn_ts_831_27_1p9452,266.0,0.126,2.461977466455732e-07,1.0281459105736863,174.38,172.367,1545.688,441.97607798331063,1736.0,1803.0,1852.01,456.0,1885.0,1545.435,454.4158971499375,1719.0,1798.1,2077.01,440.0,2133.0,0.824,0.824,0.824,0.824,0.824,0.824
nyc_syn_ts_192_15_2p5752,311.0,0.226,8.66144540069212e-23,1.050566103377911,209.632,206.51,1715.881,304.71685743030724,1801.0,1856.0,1897.0,500.0,1922.0,1707.191,320.12520154412033,1774.0,1848.0,2120.0299999999997,497.0,2161.0,0.921,0.921,0.921,0.921,0.921,0.921
nyc_syn_ts_880_9_2p6632,393.0,0.268,5.493946128318164e-32,1.0628402259464247,276.462,270.847,1974.234,189.07810495605716,1959.5,2147.1,2215.02,822.0,2258.0,1932.722,200.9598157930176,1964.5,2083.0,2342.02,703.0,2397.0,0.992,0.981,0.978,0.979,0.978,0.978
nyc_syn_ts_514_13_2p7829,430.0,0.424,5.526786377018912e-81,1.8773774066473907,315.979,308.992,2091.781,152.64810671437587,2140.0,2219.0,2281.01,915.0,2314.0,2095.042,286.57810671306913,2045.0,2367.2,2987.01,816.0,3055.0,0.997,0.996,0.993,0.991,0.987,0.988
