scenario,n_runs,seeds_identical,totals_at,static_total_mean,static_total_sd,dynamic_total_mean,dynamic_total_sd,paired_delta_mean,paired_delta_sd,runs_dynamic_larger,runs_dynamic_smaller,ks_totals,static_t0,dynamic_t0,delta_t0,static_t6,dynamic_t6,delta_t6,static_t24,dynamic_t24,delta_t24,static_t48,dynamic_t48,delta_t48,static_t96,dynamic_t96,delta_t96,static_t144,dynamic_t144,delta_t144,static_t240,dynamic_t240,delta_t240,static_t360,dynamic_t360,delta_t360,crash_frac_static_1000,crash_frac_dynamic_1000,crash_frac_static_1200,crash_frac_dynamic_1200,crash_frac_static_1500,crash_frac_dynamic_1500,node_runs_fail_both,frac_earlier,frac_later,frac_same,node_runs_only_dynamic,node_runs_only_static,median_shift_h,mean_prepeak_failures_dynamic,cause_flood_static,cause_flood_dynamic,cause_inter_static,cause_inter_dynamic,cause_intra_fuel_static,cause_intra_fuel_dynamic,cause_intra_subway_static,cause_intra_subway_dynamic,cause_intra_telecom_static,cause_intra_telecom_dynamic,cause_intra_water_static,cause_intra_water_dynamic,type_fuel_static,type_fuel_dynamic,type_fuel_delta,type_hospital_static,type_hospital_dynamic,type_hospital_delta,type_power_static,type_power_dynamic,type_power_delta,type_subway_static,type_subway_dynamic,type_subway_delta,type_telecom_static,type_telecom_dynamic,type_telecom_delta,type_water_static,type_water_dynamic,type_water_delta,t_peak_h
geoclaw_2026,1000,True,t360,2299.545,138.0645427870603,2438.846,424.7178148888977,139.301,399.62362592694643,992,8,0.23099999999999998,206.596,644.376,437.78,460.743,1078.567,617.824,1041.253,1394.37,353.117,1208.469,1712.981,504.512,1970.646,2199.441,228.795,2190.097,2340.537,150.44,2276.191,2424.054,147.863,2299.545,2438.846,139.301,0.994,1.0,0.993,0.998,0.993,0.993,2293596,0.6452993465283337,0.008181911722901504,0.34651874174876485,145250,5949,-18.0,487.923,206.596,195.658,1206.872,1246.639,294.22,305.89,33.438,78.061,526.575,578.973,31.844,33.625,389.801,427.478,37.677,44.472,45.54,1.068,37.656,39.556,1.9,321.904,346.234,24.33,1430.43,1501.029,70.599,75.282,79.009,3.727,25.0
geoclaw_2050,1000,True,t360,2460.208,59.08790685072539,3899.37,252.70672547441237,1439.162,250.86343248070256,995,5,0.971,295.516,1115.714,820.198,676.45,1400.441,723.991,1264.003,2267.667,1003.664,1537.255,2582.827,1045.572,2185.557,3451.23,1265.673,2370.98,3678.778,1307.798,2438.429,3870.262,1431.833,2460.208,3899.37,1439.162,1.0,1.0,1.0,1.0,0.999,1.0,2454036,0.8289206026317463,0.006158426363753425,0.16492097100450034,1445334,6172,-24.0,883.387,295.516,275.267,1344.396,1899.115,242.636,739.681,22.576,63.503,523.711,896.896,31.373,24.908,414.19,878.79,464.6,44.958,58.588,13.63,45.45,68.811,23.361,334.855,441.496,106.641,1540.323,2327.997,787.674,80.432,123.688,43.256,25.0
geoclaw_2080,1000,True,t360,2748.233,96.58601716087065,3999.896,94.10398070219983,1251.663,128.38634441014355,1000,0,0.995,415.969,1348.638,932.669,988.181,1724.857,736.676,1647.38,2692.666,1045.286,1960.005,3014.48,1054.475,2509.069,3681.378,1172.309,2668.078,3835.757,1167.679,2730.637,3973.217,1242.58,2748.233,3999.896,1251.663,1.0,1.0,1.0,1.0,1.0,1.0,2741477,0.8517981365519389,0.003378106035542155,0.14482375741251888,1258419,6756,-24.0,1130.956,415.969,352.27,1526.563,1954.134,221.192,730.087,6.229,51.588,551.241,887.147,27.039,24.67,454.251,893.103,438.852,49.56,58.946,9.386,53.915,77.647,23.732,365.948,444.829,78.881,1739.102,2400.475,661.373,85.457,124.896,39.439,25.0
syn_ts_156_15_1p066,1000,True,t360,1737.957,646.1309179655467,1757.585,632.7123934103078,19.628,31.85676719317263,838,146,0.12,162.018,329.447,167.429,335.166,450.25,115.084,689.762,749.918,60.156,790.969,869.879,78.91,1434.896,1486.725,51.829,1642.068,1671.098,29.03,1718.067,1740.753,22.686,1737.957,1757.585,19.628,0.757,0.757,0.757,0.757,0.757,0.757,1733626,0.267294099188637,0.0026805089448358526,0.7300253918665272,23959,4331,0.0,289.58,162.018,159.502,832.917,826.786,240.447,234.185,45.709,60.736,428.173,445.448,28.693,30.928,292.466,299.086,6.62,37.552,37.552,0.0,26.577,27.77,1.193,248.871,250.765,1.894,1075.644,1085.565,9.921,56.847,56.847,0.0,12.4
syn_ts_173_2_0p8859,1000,True,t360,137.516,55.15882290259646,139.443,55.25420120678608,1.927,1.6080021766154424,861,5,0.044999999999999984,57.977,82.71,24.733,91.605,96.134,4.529,110.671,114.065,3.394,118.968,121.638,2.67,126.699,128.976,2.277,131.887,134.496,2.609,137.516,139.443,1.927,137.516,139.443,1.927,0.0,0.0,0.0,0.0,0.0,0.0,137483,0.6302160994450223,0.00016729341082170158,0.369616607144156,1960,33,-3.0,57.977,57.977,57.977,59.285,58.565,,,1.998,2.71,10.207,12.14,8.049,8.051,17.968,17.968,0.0,9.579,9.579,0.0,2.577,2.577,0.0,10.005,10.183,0.178,85.677,87.426,1.749,11.71,11.71,0.0,3.3
syn_ts_192_15_2p5752,1000,True,t360,2041.511,381.88115674775054,2102.484,338.055270250295,60.973,53.69355893400995,998,2,0.602,209.632,864.713,655.081,433.054,1007.249,574.195,850.649,1180.876,330.227,969.062,1531.332,562.27,1715.881,1943.31,227.429,1944.804,2034.925,90.121,2021.356,2101.45,80.094,2041.511,2102.484,60.973,0.921,0.939,0.921,0.924,0.921,0.921,2030984,0.7808623800089021,0.004577584067624364,0.21456003592347356,71500,10527,-24.0,482.8,209.632,204.29,970.413,998.302,285.069,276.829,45.197,64.05,501.08,526.102,30.12,32.911,346.508,374.763,28.255,41.214,41.246,0.032,31.826,38.631,6.805,285.434,288.49,3.056,1272.782,1295.568,22.786,63.747,63.786,0.039,24.0
syn_ts_192_7_1p0240,1000,True,t360,195.719,59.934814915873396,200.915,59.53076326572674,5.196,15.780797951941468,912,15,0.07699999999999996,69.391,104.447,35.056,115.626,124.939,9.313,154.268,164.446,10.178,169.535,176.61,7.075,182.278,188.598,6.32,189.386,195.774,6.388,195.688,200.89,5.202,195.719,200.915,5.196,0.0,0.0,0.0,0.0,0.0,0.0,195500,0.5889462915601023,0.0002659846547314578,0.41078772378516626,5415,219,-2.0,69.391,69.391,69.391,93.05,93.416,,,4.956,5.909,18.712,22.587,9.61,9.612,22.674,22.788,0.114,12.798,12.87,0.072,3.151,3.17,0.019,16.973,17.497,0.524,126.087,130.542,4.455,14.036,14.048,0.012,2.9
syn_ts_258_9_3p0022,1000,True,t360,2461.403,120.52078074340541,3353.767,712.1355816914361,892.364,706.1604672480612,987,13,0.661,352.514,1165.379,812.865,739.211,1440.011,700.8,1308.355,2055.896,747.541,1515.446,2401.123,885.677,2176.775,3024.577,847.802,2370.14,3197.82,827.68,2439.745,3331.441,891.696,2461.403,3353.767,892.364,1.0,1.0,0.998,1.0,0.996,1.0,2451902,0.8110222186694248,0.005575671458320928,0.18340210987225428,901865,9501,-24.0,915.859,352.514,322.277,1277.086,1628.684,266.228,542.213,12.897,60.616,522.958,767.877,29.72,32.1,415.05,705.706,290.656,47.506,54.279,6.773,42.4,62.191,19.791,328.179,396.67,68.491,1549.071,2028.212,479.141,79.197,106.709,27.512,25.3
syn_ts_321_19_1p7614,1000,True,t360,672.531,602.8983438681848,680.174,600.6318121145433,7.643,8.087246193853629,966,29,0.16299999999999998,108.364,215.122,106.758,221.642,267.38,45.738,357.166,382.713,25.547,408.387,430.833,22.446,575.648,591.515,15.867,636.947,647.639,10.692,664.485,673.074,8.589,672.531,680.174,7.643,0.162,0.162,0.162,0.162,0.162,0.162,671094,0.41419830902973354,0.0008940625307333994,0.584907628439533,9080,1437,0.0,119.368,108.364,108.031,324.529,318.115,52.847,52.64,45.264,47.082,122.997,135.32,18.53,18.986,95.018,95.028,0.01,24.109,24.109,0.0,10.85,10.835,-0.015,112.374,112.501,0.127,399.315,406.836,7.521,30.865,30.865,0.0,9.8
syn_ts_436_11_1p3524,1000,True,t360,1130.896,783.1196199713042,1140.569,777.9976460369273,9.673,10.301459653854886,894,95,0.11700000000000002,126.807,253.865,127.058,256.167,370.623,114.456,484.952,521.899,36.947,557.325,629.36,72.035,935.048,975.22,40.172,1062.389,1081.391,19.002,1115.911,1131.165,15.254,1130.896,1140.569,9.673,0.415,0.415,0.415,0.415,0.415,0.415,1128027,0.4036756212395625,0.0021276086476653485,0.5941967701127722,12542,2869,0.0,129.738,126.807,126.807,548.098,539.308,134.298,133.822,44.988,48.157,253.019,268.453,23.686,24.022,180.155,180.181,0.026,30.233,30.233,0.0,17.476,17.439,-0.037,171.633,171.824,0.191,688.857,698.35,9.493,42.542,42.542,0.0,9.9
syn_ts_463_29_1p6644,1000,True,t360,715.188,635.1896257465168,793.545,615.2205929380127,78.357,59.54797688418978,979,20,0.465,109.817,245.686,135.869,224.239,347.781,123.542,369.056,453.569,84.513,421.936,527.165,105.229,609.197,700.797,91.6,676.563,759.558,82.995,706.311,786.485,80.174,715.188,793.545,78.357,0.186,0.186,0.186,0.186,0.186,0.186,713160,0.4744489315160693,0.0013363060182848168,0.5242147624656459,80385,2028,0.0,154.199,109.817,109.442,345.486,400.393,60.677,56.266,45.033,47.172,135.247,160.802,18.928,19.47,103.079,155.374,52.295,24.638,24.638,0.0,11.442,15.78,4.338,117.715,117.727,0.012,426.432,448.144,21.712,31.882,31.882,0.0,14.9
syn_ts_514_13_2p7829,1000,True,t360,2394.625,161.50969127269113,2907.525,715.6963443912509,512.9,668.2138041076374,980,17,0.551,315.979,781.812,465.833,668.544,1240.876,572.332,1210.084,1550.056,339.972,1386.016,1949.333,563.317,2091.781,2545.604,453.823,2301.122,2772.436,471.314,2373.341,2874.43,501.089,2394.625,2907.525,512.9,0.999,1.0,0.995,0.999,0.99,0.995,2386102,0.664657252707554,0.009744763635418771,0.32559798365702725,521423,8523,-14.0,558.709,315.979,299.95,1227.589,1427.377,276.312,382.08,17.775,72.61,526.321,691.591,30.649,33.917,403.185,573.658,170.473,47.026,50.7,3.674,40.224,53.506,13.282,320.794,360.314,39.52,1506.209,1776.687,270.478,77.187,92.66,15.473,20.8
syn_ts_570_2_1p5351,1000,True,t360,284.407,60.05378714952122,296.762,62.16358545000441,12.355,26.283359279209346,994,2,0.16200000000000003,82.345,171.335,88.99,168.808,202.633,33.825,227.005,249.819,22.814,251.202,267.144,15.942,268.363,282.699,14.336,277.419,291.102,13.683,283.661,296.137,12.476,284.407,296.762,12.355,0.0,0.0,0.0,0.0,0.0,0.0,283855,0.7197266209860669,0.0002113755262369872,0.28006200348769617,12907,552,-6.0,117.534,82.345,82.276,128.016,129.841,,,35.855,36.364,26.59,36.604,11.601,11.677,29.117,31.801,2.684,15.68,15.722,0.042,4.302,4.511,0.209,55.186,55.938,0.752,162.815,171.476,8.661,17.307,17.314,0.007,10.7
syn_ts_605_5_3p7563,1000,True,t360,2749.433,157.61433155332037,4055.228,89.26846036534965,1305.795,176.01924035457034,1000,0,0.989,611.536,2230.892,1619.356,1364.42,2445.263,1080.843,1796.945,3065.49,1268.545,2128.688,3266.954,1138.266,2552.197,3756.094,1203.897,2672.611,3896.271,1223.66,2739.745,4030.199,1290.454,2749.433,4055.228,1305.795,1.0,1.0,1.0,1.0,1.0,1.0,2745662,0.9815727500325969,0.0036333678362449567,0.014793882131158169,1309566,3771,-40.0,1804.013,611.536,430.22,1308.175,1882.785,245.209,708.055,10.482,54.672,551.127,946.125,22.904,33.371,483.535,898.23,414.695,50.161,58.954,8.793,57.299,81.684,24.385,358.972,444.563,85.591,1714.014,2445.34,731.326,85.452,126.457,41.005,58.9
syn_ts_662_3_0p9973,1000,True,t360,132.277,53.62369132202669,134.073,53.67921078965301,1.796,1.5027920681185405,856,6,0.05400000000000005,56.658,82.713,26.055,89.204,93.902,4.698,105.783,109.327,3.544,113.754,116.345,2.591,121.168,123.386,2.218,126.335,128.928,2.593,132.277,134.073,1.796,132.277,134.073,1.796,0.0,0.0,0.0,0.0,0.0,0.0,132245,0.6623615259556127,0.00015879617376838445,0.33747967787061894,1828,32,-3.0,66.626,56.658,56.658,56.185,55.493,,,1.966,2.678,9.583,11.357,7.885,7.887,17.54,17.54,0.0,9.261,9.261,0.0,2.524,2.524,0.0,9.559,9.737,0.178,81.93,83.548,1.618,11.463,11.463,0.0,7.5
syn_ts_708_13_1p1567,1000,True,t360,323.051,58.72655616499234,328.885,57.16077129465627,5.834,16.639063795778895,864,78,0.10600000000000004,89.178,181.039,91.861,186.042,217.494,31.452,251.9,271.053,19.153,281.824,292.25,10.426,302.846,311.301,8.455,314.281,322.225,7.944,321.627,327.787,6.16,323.051,328.885,5.834,0.0,0.0,0.0,0.0,0.0,0.0,320886,0.7023647027293182,0.00022437875133224884,0.29741091851934953,7999,2165,-5.0,105.488,89.178,89.061,147.56,144.202,,,41.827,40.622,31.626,42.008,12.86,12.992,33.142,33.268,0.126,17.281,17.323,0.042,5.155,5.176,0.021,65.003,63.903,-1.1,183.037,189.775,6.738,19.433,19.44,0.007,8.3
syn_ts_808_27_3p7885,1000,True,t360,2609.898,64.24974393723292,3986.432,101.2789878306453,1376.534,101.98922905875894,1000,0,0.996,443.817,1657.411,1213.594,942.102,1994.455,1052.353,1505.241,2667.095,1161.854,1791.298,2975.429,1184.131,2362.598,3614.609,1252.011,2525.16,3793.955,1268.795,2591.432,3956.85,1365.418,2609.898,3986.432,1376.534,1.0,1.0,1.0,1.0,0.999,1.0,2606926,0.9642805357727837,0.0027185274917661643,0.033000936735450105,1379506,2972,-34.0,1351.419,443.817,380.99,1366.44,1893.732,228.429,708.597,7.123,69.787,537.646,904.31,26.443,29.016,452.991,893.564,440.573,49.096,58.945,9.849,51.249,73.588,22.339,342.703,441.658,98.955,1632.804,2392.937,760.133,81.055,125.74,44.685,46.0
syn_ts_810_14_1p1460,1000,True,t360,137.423,55.185342900085345,139.363,55.284638291301135,1.94,1.6076069171286869,867,5,0.04700000000000004,57.935,85.296,27.361,91.528,96.585,5.057,110.58,114.008,3.428,118.873,121.594,2.721,126.605,128.939,2.334,131.794,134.473,2.679,137.423,139.363,1.94,137.423,139.363,1.94,0.0,0.0,0.0,0.0,0.0,0.0,137390,0.6543998835431982,0.0001674066525948031,0.345432709804207,1973,33,-3.0,57.935,57.935,57.935,59.245,58.528,,,1.997,2.697,10.2,12.156,8.046,8.047,17.946,17.946,0.0,9.574,9.574,0.0,2.575,2.575,0.0,9.994,10.169,0.175,85.627,87.392,1.765,11.707,11.707,0.0,3.9
syn_ts_831_27_1p9452,1000,True,t360,1859.582,559.9849902238452,1867.239,552.4879671802817,7.657,14.165922172594342,788,173,0.052999999999999936,174.38,344.321,169.941,365.183,557.286,192.103,745.859,800.072,54.213,854.146,987.867,133.721,1545.688,1609.563,63.875,1762.892,1784.693,21.801,1839.417,1855.042,15.625,1859.582,1867.239,7.657,0.824,0.824,0.824,0.824,0.824,0.824,1854538,0.3741346901492447,0.0028233446820717613,0.6230419651686835,12701,5044,0.0,187.012,174.38,172.251,891.078,879.927,259.421,258.219,46.61,52.582,458.766,472.177,29.327,32.083,314.68,314.825,0.145,38.946,38.946,0.0,28.67,28.685,0.015,263.965,265.156,1.191,1153.709,1160.015,6.306,59.612,59.612,0.0,9.1
syn_ts_880_9_2p6632,1000,True,t360,2297.381,212.09488404721128,2417.544,390.9044794626943,120.163,320.06184782163587,980,19,0.381,276.462,1005.93,729.468,584.353,1198.231,613.878,1073.736,1442.426,368.69,1222.9,1843.637,620.737,1974.234,2233.876,259.642,2199.947,2336.288,136.341,2275.137,2410.139,135.002,2297.381,2417.544,120.163,0.993,1.0,0.982,0.995,0.981,0.984,2286166,0.7785917558042592,0.005609391444015876,0.21579885275172495,131378,11215,-24.0,813.654,276.462,257.311,1138.655,1158.757,287.026,310.849,30.775,72.268,533.507,582.261,30.956,36.098,386.748,433.973,47.225,45.885,46.471,0.586,37.623,45.002,7.379,311.449,320.058,8.609,1442.613,1496.081,53.468,73.063,75.959,2.896,25.1
syn_ts_914_26_3p4047,1000,True,t360,2573.971,77.57172267650112,3882.15,339.38092388936656,1308.179,334.1112673332044,993,7,0.937,418.951,1404.873,985.922,870.845,1685.401,814.556,1454.141,2434.487,980.346,1716.551,2768.638,1052.087,2314.143,3477.608,1163.465,2486.677,3684.256,1197.579,2554.293,3853.798,1299.505,2573.971,3882.15,1308.179,1.0,1.0,1.0,1.0,0.999,1.0,2567588,0.9054186263528261,0.004017389082672142,0.09056398456450178,1314562,6383,-26.0,1162.801,418.951,358.192,1352.916,1892.048,234.521,674.702,8.577,38.677,531.687,889.859,27.319,28.672,443.388,866.518,423.13,48.57,58.322,9.752,49.158,71.661,22.503,339.682,435.192,95.51,1611.791,2327.41,715.619,81.382,123.047,41.665,37.5
syn_ts_914_6_1p2955,1000,True,t360,335.593,78.28852630494458,342.616,77.0009515785357,7.023,15.474768851262368,974,3,0.136,91.344,176.337,84.993,190.602,209.996,19.394,258.503,277.317,18.814,290.02,300.184,10.164,313.261,322.031,8.77,325.985,334.237,8.252,333.922,341.096,7.174,335.593,342.616,7.023,0.001,0.001,0.001,0.001,0.001,0.001,334514,0.600010761881416,0.00020925880531158636,0.3997799793132724,8102,1079,-2.0,100.243,91.344,91.206,154.203,153.245,0.329,0.329,42.696,42.916,33.696,41.435,13.325,13.485,34.791,34.905,0.114,17.878,17.914,0.036,5.46,5.479,0.019,67.201,67.56,0.359,190.048,196.537,6.489,20.215,20.221,0.006,8.7
syn_ts_999_12_3p44,1000,True,t360,2494.967,114.38408941369426,3622.049,610.885153362725,1127.082,601.8293207180919,982,15,0.772,372.09,1273.764,901.674,775.144,1511.677,736.533,1353.092,2229.155,876.063,1576.565,2598.189,1021.624,2218.134,3237.94,1019.806,2404.695,3438.666,1033.971,2473.436,3591.823,1118.387,2494.967,3622.049,1127.082,1.0,1.0,0.998,1.0,0.996,1.0,2487133,0.8783482829426492,0.005189107297438456,0.11646260975991232,1134916,7834,-25.0,1101.017,372.09,335.042,1300.186,1781.956,258.215,625.503,11.555,35.664,523.848,812.395,29.073,31.489,422.159,786.804,364.645,47.664,56.314,8.65,44.285,67.153,22.868,331.339,414.849,83.51,1569.762,2182.026,612.264,79.758,114.903,35.145,36.1
