                                         0             1             2                    3                    4                     5                    6                    7                     8                     9                     10                    11                   12                   13                   14                    15                    16                    17                    18                   19                    20                   21                  22
scenario                       geoclaw_2026  geoclaw_2050  geoclaw_2080  syn_ts_156_15_1p066  syn_ts_173_2_0p8859  syn_ts_192_15_2p5752  syn_ts_192_7_1p0240  syn_ts_258_9_3p0022  syn_ts_321_19_1p7614  syn_ts_436_11_1p3524  syn_ts_463_29_1p6644  syn_ts_514_13_2p7829  syn_ts_570_2_1p5351  syn_ts_605_5_3p7563  syn_ts_662_3_0p9973  syn_ts_708_13_1p1567  syn_ts_808_27_3p7885  syn_ts_810_14_1p1460  syn_ts_831_27_1p9452  syn_ts_880_9_2p6632  syn_ts_914_26_3p4047  syn_ts_914_6_1p2955  syn_ts_999_12_3p44
n_runs                                 1000          1000          1000                 1000                 1000                  1000                 1000                 1000                  1000                  1000                  1000                  1000                 1000                 1000                 1000                  1000                  1000                  1000                  1000                 1000                  1000                 1000                1000
seeds_identical                        True          True          True                 True                 True                  True                 True                 True                  True                  True                  True                  True                 True                 True                 True                  True                  True                  True                  True                 True                  True                 True                True
totals_at                              t360          t360          t360                 t360                 t360                  t360                 t360                 t360                  t360                  t360                  t360                  t360                 t360                 t360                 t360                  t360                  t360                  t360                  t360                 t360                  t360                 t360                t360
t_peak_h                               25.0          25.0          25.0                 12.4                  3.3                  24.0                  2.9                 25.3                   9.8                   9.9                  14.9                  20.8                 10.7                 58.9                  7.5                   8.3                  46.0                   3.9                   9.1                 25.1                  37.5                  8.7                36.1
static_total_mean                  2299.545      2460.208      2748.233             1737.957              137.516              2041.511              195.719             2461.403               672.531              1130.896               715.188              2394.625              284.407             2749.433              132.277               323.051              2609.898               137.423              1859.582             2297.381              2573.971              335.593            2494.967
dynamic_total_mean                 2438.846       3899.37      3999.896             1757.585              139.443              2102.484              200.915             3353.767               680.174              1140.569               793.545              2907.525              296.762             4055.228              134.073               328.885              3986.432               139.363              1867.239             2417.544               3882.15              342.616            3622.049
paired_delta_mean                   139.301      1439.162      1251.663               19.628                1.927                60.973                5.196              892.364                 7.643                 9.673                78.357                 512.9               12.355             1305.795                1.796                 5.834              1376.534                  1.94                 7.657              120.163              1308.179                7.023            1127.082
paired_delta_sd                     399.624       250.863       128.386               31.857                1.608                53.694               15.781               706.16                 8.087                10.301                59.548               668.214               26.283              176.019                1.503                16.639               101.989                 1.608                14.166              320.062               334.111               15.475             601.829
runs_dynamic_larger                     992           995          1000                  838                  861                   998                  912                  987                   966                   894                   979                   980                  994                 1000                  856                   864                  1000                   867                   788                  980                   993                  974                 982
runs_dynamic_smaller                      8             5             0                  146                    5                     2                   15                   13                    29                    95                    20                    17                    2                    0                    6                    78                     0                     5                   173                   19                     7                    3                  15
ks_totals                             0.231         0.971         0.995                 0.12                0.045                 0.602                0.077                0.661                 0.163                 0.117                 0.465                 0.551                0.162                0.989                0.054                 0.106                 0.996                 0.047                 0.053                0.381                 0.937                0.136               0.772
static_t0                           206.596       295.516       415.969              162.018               57.977               209.632               69.391              352.514               108.364               126.807               109.817               315.979               82.345              611.536               56.658                89.178               443.817                57.935                174.38              276.462               418.951               91.344              372.09
dynamic_t0                          644.376      1115.714      1348.638              329.447                82.71               864.713              104.447             1165.379               215.122               253.865               245.686               781.812              171.335             2230.892               82.713               181.039              1657.411                85.296               344.321              1005.93              1404.873              176.337            1273.764
delta_t0                             437.78       820.198       932.669              167.429               24.733               655.081               35.056              812.865               106.758               127.058               135.869               465.833                88.99             1619.356               26.055                91.861              1213.594                27.361               169.941              729.468               985.922               84.993             901.674
delta_t6                            617.824       723.991       736.676              115.084                4.529               574.195                9.313                700.8                45.738               114.456               123.542               572.332               33.825             1080.843                4.698                31.452              1052.353                 5.057               192.103              613.878               814.556               19.394             736.533
delta_t24                           353.117      1003.664      1045.286               60.156                3.394               330.227               10.178              747.541                25.547                36.947                84.513               339.972               22.814             1268.545                3.544                19.153              1161.854                 3.428                54.213               368.69               980.346               18.814             876.063
delta_t48                           504.512      1045.572      1054.475                78.91                 2.67                562.27                7.075              885.677                22.446                72.035               105.229               563.317               15.942             1138.266                2.591                10.426              1184.131                 2.721               133.721              620.737              1052.087               10.164            1021.624
