arm,storm,grid_h,mode,arrival_shift_h,tpeak_shift_h,intra_origin_shift_h,n,t360_mean,t360_sd,super_cascade_frac,crash1000_frac,ref,paired_delta_mean,paired_delta_sd,runs_larger,runs_smaller
U,syn_ts_880_9_2p6632,6,arrival,0,0,0,100,2388.71,288.91,0.03,1.0,,,,,
W,syn_ts_880_9_2p6632,6,arrival,-6,0,0,100,2704.1,703.91,0.25,1.0,U,315.39,619.24,70.0,24.0
R,syn_ts_880_9_2p6632,6,arrival,6,6,0,100,2388.71,288.91,0.03,1.0,U,0.0,0.0,0.0,0.0
T,syn_ts_880_9_2p6632,6,arrival,12,12,0,100,2388.71,288.91,0.03,1.0,R,0.0,0.0,0.0,0.0
Pminus,syn_ts_880_9_2p6632,6,arrival,6,6,-6,100,2307.0,119.66,0.0,1.0,R,-81.71,242.65,4.0,96.0
Pplus,syn_ts_880_9_2p6632,6,arrival,6,6,6,100,2463.57,440.89,0.08,1.0,R,74.86,320.65,66.0,18.0
R6,syn_ts_914_6_1p2955,6,arrival,6,6,0,100,337.0,53.56,0.0,0.0,,,,,
Pminus6,syn_ts_914_6_1p2955,6,arrival,6,6,-6,100,330.68,55.65,0.0,0.0,R6,-6.32,11.96,0.0,99.0
Pplus6,syn_ts_914_6_1p2955,6,arrival,6,6,6,100,340.31,58.39,0.0,0.0,R6,3.31,20.96,36.0,57.0
S3,syn_ts_880_9_2p6632,3,static_peak,0,0,0,100,2549.65,625.73,0.16,1.0,,,,,
U3,syn_ts_880_9_2p6632,3,arrival,0,0,0,100,2690.96,710.44,0.23,1.0,S3,141.31,434.83,95.0,5.0
R3,syn_ts_880_9_2p6632,3,arrival,6,6,0,100,2690.96,710.44,0.23,1.0,U3,0.0,0.0,0.0,0.0
Pplus3,syn_ts_880_9_2p6632,3,arrival,6,6,6,100,2920.0,835.29,0.38,1.0,R3,229.04,539.46,69.0,21.0
Pminus3,syn_ts_880_9_2p6632,3,arrival,6,6,-6,100,2449.15,432.84,0.07,1.0,R3,-241.81,587.48,14.0,82.0
W3,syn_ts_880_9_2p6632,3,arrival,-6,0,0,100,2934.73,838.2,0.39,1.0,U3,243.77,553.97,63.0,33.0
V3,syn_ts_880_9_2p6632,3,arrival,6,0,0,100,2448.92,433.37,0.07,1.0,U3,-242.04,587.39,20.0,78.0
