hwm_id,lat,lon,elev_ft,elev_m_navd88,vdatum,environment,quality_id,stillwater,height_above_gnd_ft,desc
26905,42.367,-70.971,,,,Coastal,4,0.0,0.5,Ice line in a marsh area near the boat access. Marker is a 3 ft rebar stake in the ground and spray-painted the top 6 in
27014,42.360117,-71.049469,9.3,2.8346,NAVD88,Coastal,2,0.0,2.11,Sharpie mark on outside door frame on the middle of the south side of building
27005,42.271,-70.957,7.4,2.2555,NAVD88,Coastal,3,0.0,3.0,marker in stair case behind 18 Bayswater Rd. 3rd stair from top
26893,42.3578,-70.972,8.6,2.6213,NAVD88,Coastal,4,0.0,0.75,Mark is between the first and second step of the stairs to the front door of house #85 Otis St.
26916,42.3933,-70.9878,8.8,2.6822,NAVD88,Coastal,3,0.0,,Ice line located on 3rd post from the water for boat launch. Yacht club employee confirmed hwm.
26915,42.379,-70.9757,,,,Coastal,3,0.0,0.3,Ice line found on wood holding up the port-a-potty. Water did not reach road according to apartment renters.
26948,42.2497,-70.94636,9.8,2.987,NAVD88,Coastal,3,0.0,,"Ice line on the outer brick of the building, if facing the far right window on the lower level."
26949,42.257,-70.9358,11.9,3.6271,NAVD88,Coastal,3,0.0,0.35,"Ice line on telephone tension cable. Not marked, only measured at the base of the cable"
26950,42.2445,-70.9573,9.8,2.987,NAVD88,Coastal,6,0.0,,Ice line measured 0.25 ft above bolt in the rock wall near stairway
26951,42.2233,-70.966,9.0,2.7432,NAVD88,Coastal,6,0.0,,"ice line 1.65 ft above beveled concrete lip, approximately at chest height"
27024,42.28428,-71.03778,9.8,2.987,NAVD88,Coastal,3,1.0,,Ice HWM tag on NE corner of Neponset Landing Pier between Rt 3A and RR bridge.
27009,42.2929,-71.0218,9.0,2.7432,NAVD88,Coastal,1,0.0,0.5,"marker in hut, side furtherst from the street, close to ground"
27004,42.252,-70.9901,9.0,2.7432,NAVD88,Coastal,2,0.0,,2 feet below top of abutment on left of culvert
27021,42.2722,-70.9499,8.0,2.4384,NAVD88,Coastal,3,1.0,5.2,Beneath walkway at south side of Quincy Yacht Club on 2nd piling.
27022,42.2655,-70.9902,9.8,2.987,NAVD88,Coastal,3,0.0,,"Ice along concrete steps down to shore from Narragansett and Chickatabot Road.  HWM not exactly on green tag, actual HWM"
27007,42.2649,-70.9843,9.9,3.0175,NAVD88,Coastal,2,0.0,2.0,spray paint line on sea wall to the right side of stair case
27006,42.2664,-70.969,12.4,3.7795,NAVD88,Coastal,4,0.0,1.5,green marker in telephone pole
27008,42.2934,-71.0072,10.6,3.2309,NAVD88,Coastal,2,0.0,3.0,spray line on sea wall at bottom of seal rock ln
27010,42.274,-71.031,9.8,2.987,NAVD88,Coastal,2,0.0,2.0,spray paint line on tree near north corner of building
27011,42.2618,-71.0468,9.9,3.0175,NAVD88,Coastal,1,0.0,4.5,"ice line on wing wall, spray paint line on wing wall of culvert"
27013,42.2776,-71.0544,9.6,2.9261,NAVD88,Coastal,2,0.0,1.0,high water marker in tree across from corner fence of graveyard
27025,42.323476,-71.046041,9.5,2.8956,NAVD88,Coastal,2,0.0,,HWM Ice line/bath tub ring intersect station bracket at 0.2ft below top of station bracket.
27026,42.366992,-70.97223,,,,Coastal,3,0.0,,Paint on top point of rip-rap boulder at edge of grass near SW corner of terminal building - just outside harbor master'
28259,42.357751,-70.971843,,,NAVD88,Coastal,4,0.0,0.77,Ice/snow line at top of curb in front of house #82 Otis St.
28261,42.3577,-70.9709,6.7,2.0422,NAVD88,Coastal,4,0.0,0.0,Marker at base of telephone pole #846 in front of house #29 Townsend St.
28262,42.3586,-70.9717,8.9,2.7127,NAVD88,Coastal,3,0.0,0.88,Ice line. Marker put on telphone pole #1325 in front of house at #9 Whittier St.
28287,42.3604,-71.0479,,,NAVD88,Coastal,2,0.0,,Ice line marked with paint on granite wall on north side of end of pier.
26934,42.3604,-71.0479,,,NAVD88,Coastal,2,0.0,,Spray paint marks ice line on the boat access point near the middle of east end of the pier.
28288,42.3604,-71.0479,,,NAVD88,Coastal,2,0.0,,Ice line marked with paint on middle of end of granite pier (east side) and on the south side of stairs.
28289,42.3604,-71.0479,,,NAVD88,Coastal,2,0.0,,Ice line marked with paint on the south side at end of granite pier on stairs.
28286,42.3604,-71.0479,,,NAVD88,Coastal,2,0.0,,Ice line marked with paint on granite wall on steps at north side at end of the pier.
28282,42.3546,-71.0434,,,NAVD88,Coastal,6,0.0,,Paint on 5th piling of pier into harbor from Fan Pier at northeast corner of harborwalk.. From there you look south at T
26937,42.3535,-71.0443,,,NAVD88,Coastal,6,0.0,,Ice line spray painted on piling at the first pier to the left of the ramp near Strega Restaurant at 1 Marina Driver
27012,42.3548,-71.0506,,,,Coastal,2,0.0,-0.5,top of L angle iron near gage pipe
27023,42.300957,-71.008169,,,NAVD88,Coastal,2,1.0,,"Large conglomerate boulder in small cove south of Moon Island Road, access via corner of Bayside and Border Street.  App"
