element_type,element_id,name,n_times_failed,n_converged_runs,pct_failed
trafo,86,FARRAGUT <-> FARRAGUT (trafo),213,1000,21.3
trafo,87,FARRAGUT <-> FARRAGUT (trafo),213,1000,21.3
line,1906,HUDSON AVENUE <-> FARRAGUT,212,1000,21.2
line,1905,HUDSON AVENUE <-> FARRAGUT,203,1000,20.3
line,1903,FARRAGUT <-> RAINEY,196,1000,19.6
line,1904,FARRAGUT <-> RAINEY,194,1000,19.4
line,1907,FARRAGUT <-> LEONARD STREET,181,1000,18.1
line,1283,HUDSON AVENUE <-> JAMAICA,157,1000,15.7
line,1284,HUDSON AVENUE <-> JAMAICA,147,1000,14.7
bus,1529,FARRAGUT,143,1000,14.3
line,1215,UNKNOWN124169 <-> CORONA,139,1000,13.9
line,1219,EAST ASTORIA <-> CORONA,126,1000,12.6
line,1148,UNKNOWN129920 <-> GOWANUS,124,1000,12.4
line,1218,EAST ASTORIA <-> CORONA,118,1000,11.8
bus,1131,FARRAGUT,115,1000,11.5
line,1902,GOWANUS <-> FARRAGUT,115,1000,11.5
line,1901,GOWANUS <-> FARRAGUT,115,1000,11.5
line,87,UNKNOWN124169 <-> EAST ASTORIA,114,1000,11.4
line,1150,UNKNOWN129920 <-> LEONARD STREET,108,1000,10.8
line,1149,UNKNOWN129920 <-> LEONARD STREET,107,1000,10.7
line,1216,EAST ASTORIA <-> CORONA,104,1000,10.4
line,1189,WEST 49TH STREET <-> SPRAIN BROOK,104,1000,10.4
line,88,UNKNOWN124169 <-> EAST ASTORIA,102,1000,10.2
line,1217,EAST ASTORIA <-> CORONA,95,1000,9.5
line,1278,FAR ROCKAWAY <-> JAMAICA,94,1000,9.4
line,1188,WEST 49TH STREET <-> SPRAIN BROOK,91,1000,9.1
line,1912,RAINEY <-> WEST 65TH STREET,89,1000,8.9
line,1194,BRUCKNER <-> EAST ASTORIA,78,1000,7.8
line,1913,RAINEY <-> WEST 65TH STREET,77,1000,7.7
line,1206,DUNWOODIE <-> GREAT NECK,76,1000,7.6
line,1114,BRUCKNER <-> WEST ASTORIA,74,1000,7.4
line,204,EAST ASTORIA <-> EAST 13TH STREET,73,1000,7.3
line,1193,BRUCKNER <-> UNKNOWN172524,73,1000,7.3
line,203,EAST ASTORIA <-> EAST 13TH STREET,64,1000,6.4
bus,1527,GOWANUS,34,1000,3.4
trafo,83,GOWANUS <-> GOWANUS (trafo),34,1000,3.4
bus,1128,GOWANUS,34,1000,3.4
trafo,82,GOWANUS <-> GOWANUS (trafo),34,1000,3.4
bus,1130,HUDSON AVENUE,28,1000,2.8
bus,570,UNKNOWN129920,17,1000,1.7
trafo,3,UNKNOWN124169 <-> UNKNOWN124169 (trafo),16,1000,1.6
bus,1467,UNKNOWN124169,16,1000,1.6
bus,25,UNKNOWN124169,16,1000,1.6
line,1116,WEST ASTORIA <-> NORTH QUEENS,11,1000,1.1
line,1117,WEST ASTORIA <-> QUEENSBRIDGE,7,1000,0.7
line,2219,UNKNOWN172523 <-> UNKNOWN172524,7,1000,0.7
line,1200,NORTH QUEENS <-> UNKNOWN172523,7,1000,0.7
line,1118,WEST ASTORIA <-> QUEENSBRIDGE,7,1000,0.7
line,1213,CORONA <-> JAMAICA,6,1000,0.6
