osi_node_id,osi_name,osi_asset_type,Rutgers_data,match_type,distance_m,ward_pp_bus_idx,ward_bus_name,n_times_failed,n_converged_runs,pct_failed
S9,Clifton,substation,True,staten_island_override,10556.13,570,UNKNOWN129920,173,1000,17.3
S36,Howland Hook,substation,True,staten_island_override,2939.04,570,UNKNOWN129920,173,1000,17.3
S28,Westerleigh,substation,True,staten_island_override,5624.85,570,UNKNOWN129920,173,1000,17.3
S25,Wadsworth,substation,True,staten_island_override,11045.71,570,UNKNOWN129920,173,1000,17.3
S27,Naughton,substation,True,staten_island_override,9317.72,570,UNKNOWN129920,173,1000,17.3
S22,New Brighton,substation,True,staten_island_override,9258.78,570,UNKNOWN129920,173,1000,17.3
S24,Port Richmond,substation,True,staten_island_override,6074.75,570,UNKNOWN129920,173,1000,17.3
S37,Seaside,substation,True,staten_island_override,10380.41,570,UNKNOWN129920,173,1000,17.3
S92,Clove Lakes,substation,True,staten_island_override,6665.17,570,UNKNOWN129920,173,1000,17.3
S114,Fresh Kills,substation,True,staten_island_override,3087.08,570,UNKNOWN129920,173,1000,17.3
S106,Fox Hill,substation,True,staten_island_override,10059.51,570,UNKNOWN129920,173,1000,17.3
S66,Dongan Hills,substation,True,staten_island_override,9893.84,570,UNKNOWN129920,173,1000,17.3
S75,Willowbrook,substation,True,staten_island_override,4332.89,570,UNKNOWN129920,173,1000,17.3
S82,Silver Lake,substation,True,staten_island_override,9431.82,570,UNKNOWN129920,173,1000,17.3
S51,Odin,substation,True,staten_island_override,7863.25,570,UNKNOWN129920,173,1000,17.3
P27,Pouch,plant,False,staten_island_override,10812.51,570,UNKNOWN129920,173,1000,17.3
P62,Fox Hills Battery,plant,False,staten_island_override,10052.1,570,UNKNOWN129920,173,1000,17.3
TR1,Tr1,transformer,False,staten_island_override,11033.77,570,UNKNOWN129920,173,1000,17.3
TR2,Tr2,transformer,False,staten_island_override,11097.39,570,UNKNOWN129920,173,1000,17.3
TR3,Tr3,transformer,False,staten_island_override,11063.9,570,UNKNOWN129920,173,1000,17.3
S145,Unknown140881,substation,True,staten_island_override,3833.23,570,UNKNOWN129920,173,1000,17.3
S141,Unknown129920,substation,True,staten_island_override,0.04,570,UNKNOWN129920,173,1000,17.3
S147,Unknown140894,substation,True,staten_island_override,7971.34,570,UNKNOWN129920,173,1000,17.3
S83,Woodrow,substation,True,staten_island_override,7096.29,570,UNKNOWN129920,173,1000,17.3
TR4,Tr4,transformer,False,staten_island_override,11018.05,570,UNKNOWN129920,173,1000,17.3
P36,Kinder Morgan Fordham,plant,False,staten_island_override,8889.11,570,UNKNOWN129920,173,1000,17.3
P37,Arthur Kill Power Plant,plant,False,staten_island_override,2855.28,570,UNKNOWN129920,173,1000,17.3
S108,Farragut,substation,True,coincident,0.04,1131,FARRAGUT,151,1000,15.1
S76,Cherry Street,substation,True,nearest_neighbor,869.91,1131,FARRAGUT,151,1000,15.1
S328,Farragut,substation,False,nearest_neighbor,100.68,1131,FARRAGUT,151,1000,15.1
P13,Joseph J Seymour Power Project,plant,False,nearest_neighbor,291.05,1128,GOWANUS,94,1000,9.4
P16,Narrows Gas Turbines Generating,plant,False,nearest_neighbor,2249.84,1128,GOWANUS,94,1000,9.4
S77,East 64Th Street,substation,True,nearest_neighbor,8611.75,1128,GOWANUS,94,1000,9.4
S118,Gowanus,substation,True,coincident,0.04,1128,GOWANUS,94,1000,9.4
P34,P34,plant,False,nearest_neighbor,9194.96,1128,GOWANUS,94,1000,9.4
S226,S226,substation,False,nearest_neighbor,2290.82,1128,GOWANUS,94,1000,9.4
P29,Gowanus Power Plant,plant,False,nearest_neighbor,236.57,1128,GOWANUS,94,1000,9.4
S61,Mill Avenue,substation,True,nearest_neighbor,9231.66,1128,GOWANUS,94,1000,9.4
S159,Unknown124209,substation,True,nearest_neighbor,306.57,1128,GOWANUS,94,1000,9.4
S14,East 83Rd Street,substation,True,nearest_neighbor,9268.62,1128,GOWANUS,94,1000,9.4
S21,Bensonhurst,substation,True,nearest_neighbor,5034.38,1128,GOWANUS,94,1000,9.4
S5,Avenue N,substation,True,nearest_neighbor,7811.88,1128,GOWANUS,94,1000,9.4
S1,Greenwood,substation,True,nearest_neighbor,835.01,1128,GOWANUS,94,1000,9.4
S184,S184,substation,False,nearest_neighbor,1893.29,78,EAST 13TH STREET,81,1000,8.1
S32,East 36Th Street,substation,True,nearest_neighbor,1951.81,78,EAST 13TH STREET,81,1000,8.1
S31,West 19Th Street,substation,True,nearest_neighbor,2447.31,78,EAST 13TH STREET,81,1000,8.1
P3,Con Edison East River Generating,plant,False,nearest_neighbor,73.01,78,EAST 13TH STREET,81,1000,8.1
