osi_node_id,osi_name,osi_state,osi_asset_type,osi_voltage_kv_max,osi_operator,osi_generator,Rutgers_data,osi_lat,osi_lon,match_type,distance_m,ward_pp_bus_idx,ward_bus_number,ward_bus_name,ward_bus_type,ward_tied_pp_bus_idxs
S1,Greenwood,NY,substation,138,con edison,,True,40.65929113181749,-73.99378148,nearest_neighbor,835.01,1128,1129,GOWANUS,internal,1128;1527
S2,Rosedale,NY,substation,27,con edison,,True,40.667987140273915,-73.73679467,nearest_neighbor,1120.16,569,570,UNKNOWN129913,internal,569
S3,Aqueduct,NY,substation,27,con edison,,True,40.67020317970847,-73.82035326,nearest_neighbor,3263.26,627,628,JAMAICA,internal,627;1505
S4,Clearview,NY,substation,27,con edison,,True,40.777060669297946,-73.78057744,nearest_neighbor,5227.66,597,598,GREAT NECK,internal,597
S5,Avenue N,NY,substation,27,con edison,,True,40.618498128200386,-73.93035981,nearest_neighbor,7811.88,1128,1129,GOWANUS,internal,1128;1527
S6,Parkway,NY,substation,27,con edison,,True,40.740315202003984,-73.7275565,nearest_neighbor,5409.52,597,598,GREAT NECK,internal,597
S7,Newtown,NY,substation,138,con edison,,True,40.74298485396437,-73.93154858,nearest_neighbor,1581.26,628,629,QUEENSBRIDGE,internal,628
S8,Jamaica,NY,substation,138,con edison,,True,40.69918522034024,-73.81390751,coincident,0.05,627,628,JAMAICA,internal,627;1505
S9,Clifton,NY,substation,33,con edison,,True,40.619703729753816,-74.0714447,staten_island_override,10556.13,570,571,UNKNOWN129920,internal,570
S10,Springfield,NY,substation,27,con edison,,True,40.67900468,-73.76087762,nearest_neighbor,1518.78,569,570,UNKNOWN129913,internal,569
S11,151St Avenue,NY,substation,27,con edison,,True,40.66686019173748,-73.85505537,nearest_neighbor,4997.1,627,628,JAMAICA,internal,627;1505
S12,Cedarhurst,NY,substation,69,long island power authority,,True,40.62027546476485,-73.72904784,nearest_neighbor,1881.5,626,627,WOODMERE,internal,626
S13,Montefiore,NY,substation,27,con edison,,True,40.68385011968346,-73.75084528,nearest_neighbor,1750.97,569,570,UNKNOWN129913,internal,569
S14,East 83Rd Street,NY,substation,27,con edison,,True,40.62886794970684,-73.90238142,nearest_neighbor,9268.62,1128,1129,GOWANUS,internal,1128;1527
S15,146Th Avenue,NY,substation,27,con edison,,True,40.659924964009655,-73.75463203,nearest_neighbor,985.93,569,570,UNKNOWN129913,internal,569
S16,Whitestone,NY,substation,27,con edison,,True,40.788769358779376,-73.81209837,nearest_neighbor,6851.54,600,601,CORONA,internal,600
S18,Corona,NY,substation,138,con edison,,True,40.740210720251085,-73.86219632,coincident,0.04,600,601,CORONA,internal,600
S19,Parkview,NY,substation,138,con edison,,True,40.80774607,-73.93655631,nearest_neighbor,2354.75,594,595,BRUCKNER,internal,594
S20,Alley Park,NY,substation,27,con edison,,True,40.74372325415416,-73.76148466,nearest_neighbor,6075.92,597,598,GREAT NECK,internal,597
S21,Bensonhurst,NY,substation,138,con edison,,True,40.62156961413464,-73.97592909,nearest_neighbor,5034.38,1128,1129,GOWANUS,internal,1128;1527
S22,New Brighton,NY,substation,,con edison,,True,40.64513311277476,-74.09311899,staten_island_override,9258.78,570,571,UNKNOWN129920,internal,570
S23,Rockaway,NY,substation,27,con edison,,True,40.67532842873355,-73.8054379,nearest_neighbor,2743.51,627,628,JAMAICA,internal,627;1505
S24,Port Richmond,NY,substation,33,con edison,,True,40.63895900332974,-74.13038874,staten_island_override,6074.75,570,571,UNKNOWN129920,internal,570
S25,Wadsworth,NY,substation,33,con edison,,True,40.60552066280219,-74.06649522,staten_island_override,11045.71,570,571,UNKNOWN129920,internal,570
S26,Cunningham,NY,substation,27,con edison,,True,40.72795676120681,-73.78404695,nearest_neighbor,4070.13,627,628,JAMAICA,internal,627;1505
S27,Naughton,NY,substation,33,con edison,,True,40.58481175772886,-74.09449118,staten_island_override,9317.72,570,571,UNKNOWN129920,internal,570
S28,Westerleigh,NY,substation,33,con edison,,True,40.62794496394068,-74.13125165,staten_island_override,5624.85,570,571,UNKNOWN129920,internal,570
S29,Linden,NY,substation,27,con edison,,True,40.69281629725786,-73.73363745,nearest_neighbor,3075.47,569,570,UNKNOWN129913,internal,569
S30,Cedar Street,NY,substation,138,con edison,,True,40.91505478605755,-73.78033732,nearest_neighbor,7060.6,1499,1500,DUNWOODIE,boundary,1499;1500
S31,West 19Th Street,NY,substation,69,con edison,,True,40.741239279869085,-73.9973319,nearest_neighbor,2447.31,78,79,EAST 13TH STREET,internal,78
S32,East 36Th Street,NY,substation,138,con edison,,True,40.744947028795934,-73.97133635,nearest_neighbor,1951.81,78,79,EAST 13TH STREET,internal,78
S33,Cambria,NY,substation,27,con edison,,True,40.69653368914646,-73.74675334,nearest_neighbor,3170.01,569,570,UNKNOWN129913,internal,569
S34,Hillcrest,NY,substation,27,con edison,,True,40.72426097724348,-73.80440516,nearest_neighbor,2897.31,627,628,JAMAICA,internal,627;1505
S35,East 75Th Street,NY,substation,138,con edison,,True,40.76843606495536,-73.95045862,nearest_neighbor,853.38,1129,1130,RAINEY,internal,1129;1528
S36,Howland Hook,NY,substation,33,con edison,,True,40.64125525166748,-74.18220741,staten_island_override,2939.04,570,571,UNKNOWN129920,internal,570
S37,Seaside,NY,substation,33,con edison,,True,40.582018505986845,-74.08242265,staten_island_override,10380.41,570,571,UNKNOWN129920,internal,570
S38,Creedmoor,NY,substation,27,con edison,,True,40.73404071326817,-73.72519344,nearest_neighbor,5765.74,560,561,UNKNOWN129558,boundary,560
S39,160Th Avenue,NY,substation,27,con edison,,True,40.656590155930715,-73.84759835,nearest_neighbor,5519.89,627,628,JAMAICA,internal,627;1505
S40,Douglaston,NY,substation,27,con edison,,True,40.765242064668904,-73.74229739,nearest_neighbor,3189.71,597,598,GREAT NECK,internal,597
S41,Brinkerhoff,NY,substation,27,con edison,,True,40.69466081108056,-73.78800704,nearest_neighbor,2245.43,627,628,JAMAICA,internal,627;1505
S42,Water Street,NY,substation,138,con edison,,True,40.70337027186088,-73.98188321,nearest_neighbor,50.27,1130,1131,HUDSON AVENUE,internal,1130
S43,Fresh Meadows,NY,substation,27,con edison,,True,40.73931470728924,-73.79658075,nearest_neighbor,4689.37,627,628,JAMAICA,internal,627;1505
S44,Auburndale,NY,substation,27,con edison,,True,40.77652888380453,-73.79932326,nearest_neighbor,6665.37,600,601,CORONA,internal,600
S45,Chisholm,NY,substation,27,con edison,,True,40.78420666488941,-73.85090958,nearest_neighbor,3990.77,25,26,UNKNOWN124169,internal,25;1467
