scenario,season,row0,resolved_by,peak_wl_m,t_peak_h,span_h,wet_nodes,arrival_p50_h,arrival_p90_h,duration_p50_h,frac_arriving_before_peak_minus_24h
syn_ts_662_3_0p9973,w,1,label,1.911,7.5,9.8,108,5.6,6.7,3.2,0.0
syn_ts_173_2_0p8859,w,0,label,1.922,3.3,6.8,108,1.5,2.3,3.1,0.0
syn_ts_810_14_1p1460,w,12,label,1.922,3.9,11.6,108,2.0,3.1,4.1,0.0
syn_ts_192_7_1p0240,w,5,label,2.017,2.9,7.7,126,1.3,2.4,3.4,0.0
syn_ts_570_2_1p5351,w,0,label,2.102,10.7,22.0,142,8.4,10.0,6.3,0.0
syn_ts_708_13_1p1567,w,11,label,2.15,8.3,11.3,149,5.8,7.0,4.0,0.0
syn_ts_914_6_1p2955,w,4,label,2.166,8.7,14.1,155,7.0,8.3,4.1,0.0
syn_ts_321_19_1p7614,w,17,label,2.272,9.8,19.7,186,7.7,8.9,5.0,0.0
syn_ts_463_29_1p6644,w,1,label,2.292,14.9,21.1,190,12.5,13.8,4.7,0.0
syn_ts_436_11_1p3524,w,9,label,2.369,9.9,11.2,200,7.3,8.5,3.3,0.0
syn_ts_156_15_1p066,w,13,row-2,2.563,12.4,20.5,242,10.9,12.1,4.5,0.0
syn_ts_831_27_1p9452,w,25,label,2.632,9.1,25.3,266,6.9,8.5,4.4,0.0
syn_ts_192_15_2p5752,w,13,label,2.797,24.0,40.8,311,11.0,23.5,10.5,0.0
syn_ts_880_9_2p6632,w,7,label,3.092,25.1,38.7,393,21.5,24.4,6.9,0.191
syn_ts_514_13_2p7829,w,11,label,3.24,20.8,48.3,430,17.5,19.7,8.2,0.0
syn_ts_258_9_3p0022,w,7,label,3.372,25.3,45.5,457,22.7,24.6,6.4,0.092
syn_ts_999_12_3p44,w,10,label,3.444,36.1,49.7,480,22.2,35.4,9.4,0.171
syn_ts_914_26_3p4047,w,24,label,3.64,37.5,58.5,526,23.1,36.6,15.5,0.207
syn_ts_808_27_3p7885,w,25,label,3.745,46.0,62.3,547,32.6,45.2,16.0,0.269
syn_ts_605_5_3p7563,w,3,label,4.458,58.9,70.3,703,32.6,57.7,13.4,0.536
