Facility ID,Facility Name,Description,Short Description,Attribute Type,Attribute Value,Measure Value,Sub Type,County,Regional Office,Effective Date
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,AIDS,15,Permanent,Albany,Capital District Regional Office,03/21/1988
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Bone Marrow Transplant,6,Permanent,Albany,Capital District Regional Office,01/18/1994
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Coronary Care,20,Permanent,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Intensive Care,60,Permanent,Albany,Capital District Regional Office,08/19/2013
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Maternity,39,Permanent,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Medical / Surgical,431,Permanent,Albany,Capital District Regional Office,08/15/2019
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Neonatal Continuing Care,14,Permanent,Albany,Capital District Regional Office,09/13/1994
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Neonatal Intensive Care,13,Permanent,Albany,Capital District Regional Office,08/19/2013
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Neonatal Intermediate Care,29,Permanent,Albany,Capital District Regional Office,09/13/1994
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Pediatric,55,Permanent,Albany,Capital District Regional Office,08/19/2013
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Pediatric ICU,19,Permanent,Albany,Capital District Regional Office,09/25/2015
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Physical Medicine and Rehabilitation,21,Permanent,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Bed,Psychiatric,26,Permanent,Albany,Capital District Regional Office,08/06/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,AIDS,0,,Albany,Capital District Regional Office,03/21/1988
1,Albany Medical Center Hospital,Hospital,HOSP,Service,AIDS Center,0,,Albany,Capital District Regional Office,12/30/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Ambulatory Surgery - Multi Specialty,0,,Albany,Capital District Regional Office,12/30/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Audiology  O/P,0,,Albany,Capital District Regional Office,10/05/1984
1,Albany Medical Center Hospital,Hospital,HOSP,Service,CT Scanner,0,,Albany,Capital District Regional Office,12/30/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Catheterization - Adult Diagnostic,0,,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Catheterization - Electrophysiology (EP),0,,Albany,Capital District Regional Office,12/30/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Catheterization - Pediatric Diagnostic,0,,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Catheterization - Percutaneous Coronary Intervention (PCI),0,,Albany,Capital District Regional Office,12/30/2008
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Surgery - Adult,0,,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Cardiac Surgery - Pediatric,0,,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Certified Mental Health Services O/P,0,,Albany,Capital District Regional Office,02/01/1980
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Clinic Part Time Services,0,,Albany,Capital District Regional Office,01/28/1993
1,Albany Medical Center Hospital,Hospital,HOSP,Service,Clinical Laboratory Service,0,,Albany,Capital District Regional Office,02/01/1980
