arm=static_timing  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_2x2_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep00 step  100/13600: loss = 0.30510
  Ep00 step  200/13600: loss = 0.20558
  Ep00 step  300/13600: loss = 0.14664
  Ep00 step  400/13600: loss = 0.13421
  Ep00 step  500/13600: loss = 0.12398
  Ep00 step  600/13600: loss = 0.11962
  Ep00 step  700/13600: loss = 0.11523
  Ep00 step  800/13600: loss = 0.12326
  Ep00 step  900/13600: loss = 0.11781
  Ep00 step 1000/13600: loss = 0.11448
  Ep00 step 1100/13600: loss = 0.11312
  Ep00 step 1200/13600: loss = 0.10443
  Ep00 step 1300/13600: loss = 0.10630
  Ep00 step 1400/13600: loss = 0.10349
  Ep00 step 1500/13600: loss = 0.10540
  Ep00 step 1600/13600: loss = 0.10170
  Ep00 step 1700/13600: loss = 0.10382
  Ep00 step 1800/13600: loss = 0.10049
  Ep00 step 1900/13600: loss = 0.09679
  Ep00 step 2000/13600: loss = 0.10254
  Ep00 step 2100/13600: loss = 0.10472
  Ep00 step 2200/13600: loss = 0.09996
  Ep00 step 2300/13600: loss = 0.09657
  Ep00 step 2400/13600: loss = 0.10128
  Ep00 step 2500/13600: loss = 0.10324
  Ep00 step 2600/13600: loss = 0.09624
  Ep00 step 2700/13600: loss = 0.09197
  Ep00 step 2800/13600: loss = 0.09431
  Ep00 step 2900/13600: loss = 0.09596
  Ep00 step 3000/13600: loss = 0.09616
  Ep00 step 3100/13600: loss = 0.09558
  Ep00 step 3200/13600: loss = 0.09297
  Ep00 step 3300/13600: loss = 0.09011
  Ep00 step 3400/13600: loss = 0.09276
  Ep00 step 3500/13600: loss = 0.09531
  Ep00 step 3600/13600: loss = 0.09210
  Ep00 step 3700/13600: loss = 0.09233
  Ep00 step 3800/13600: loss = 0.08953
  Ep00 step 3900/13600: loss = 0.08691
  Ep00 step 4000/13600: loss = 0.09172
  Ep00 step 4100/13600: loss = 0.09202
  Ep00 step 4200/13600: loss = 0.09168
  Ep00 step 4300/13600: loss = 0.08845
  Ep00 step 4400/13600: loss = 0.09130
  Ep00 step 4500/13600: loss = 0.09168
  Ep00 step 4600/13600: loss = 0.08651
  Ep00 step 4700/13600: loss = 0.09357
  Ep00 step 4800/13600: loss = 0.08648
  Ep00 step 4900/13600: loss = 0.08178
  Ep00 step 5000/13600: loss = 0.08814
  Ep00 step 5100/13600: loss = 0.08607
  Ep00 step 5200/13600: loss = 0.09007
  Ep00 step 5300/13600: loss = 0.08468
  Ep00 step 5400/13600: loss = 0.08985
  Ep00 step 5500/13600: loss = 0.08852
  Ep00 step 5600/13600: loss = 0.08609
  Ep00 step 5700/13600: loss = 0.08792
  Ep00 step 5800/13600: loss = 0.08799
  Ep00 step 5900/13600: loss = 0.08117
  Ep00 step 6000/13600: loss = 0.07865
  Ep00 step 6100/13600: loss = 0.08608
  Ep00 step 6200/13600: loss = 0.08211
  Ep00 step 6300/13600: loss = 0.08593
  Ep00 step 6400/13600: loss = 0.08340
  Ep00 step 6500/13600: loss = 0.08298
  Ep00 step 6600/13600: loss = 0.08551
  Ep00 step 6700/13600: loss = 0.08492
  Ep00 step 6800/13600: loss = 0.08608
  Ep00 step 6900/13600: loss = 0.07592
  Ep00 step 7000/13600: loss = 0.08528
  Ep00 step 7100/13600: loss = 0.08552
  Ep00 step 7200/13600: loss = 0.08269
  Ep00 step 7300/13600: loss = 0.08305
  Ep00 step 7400/13600: loss = 0.08070
  Ep00 step 7500/13600: loss = 0.08302
  Ep00 step 7600/13600: loss = 0.08196
  Ep00 step 7700/13600: loss = 0.08427
  Ep00 step 7800/13600: loss = 0.07765
  Ep00 step 7900/13600: loss = 0.08060
  Ep00 step 8000/13600: loss = 0.08011
  Ep00 step 8100/13600: loss = 0.08839
  Ep00 step 8200/13600: loss = 0.08302
  Ep00 step 8300/13600: loss = 0.08317
  Ep00 step 8400/13600: loss = 0.08446
  Ep00 step 8500/13600: loss = 0.08426
  Ep00 step 8600/13600: loss = 0.08455
  Ep00 step 8700/13600: loss = 0.08325
  Ep00 step 8800/13600: loss = 0.08159
  Ep00 step 8900/13600: loss = 0.08057
  Ep00 step 9000/13600: loss = 0.07995
  Ep00 step 9100/13600: loss = 0.08476
  Ep00 step 9200/13600: loss = 0.08030
  Ep00 step 9300/13600: loss = 0.07987
  Ep00 step 9400/13600: loss = 0.07945
  Ep00 step 9500/13600: loss = 0.08076
  Ep00 step 9600/13600: loss = 0.08015
  Ep00 step 9700/13600: loss = 0.08255
  Ep00 step 9800/13600: loss = 0.08036
  Ep00 step 9900/13600: loss = 0.08189
  Ep00 step 10000/13600: loss = 0.08614
  Ep00 step 10100/13600: loss = 0.08102
  Ep00 step 10200/13600: loss = 0.07990
  Ep00 step 10300/13600: loss = 0.07994
  Ep00 step 10400/13600: loss = 0.07989
  Ep00 step 10500/13600: loss = 0.07644
  Ep00 step 10600/13600: loss = 0.07751
  Ep00 step 10700/13600: loss = 0.07808
  Ep00 step 10800/13600: loss = 0.08004
  Ep00 step 10900/13600: loss = 0.08217
  Ep00 step 11000/13600: loss = 0.08069
  Ep00 step 11100/13600: loss = 0.07834
  Ep00 step 11200/13600: loss = 0.07921
  Ep00 step 11300/13600: loss = 0.08052
  Ep00 step 11400/13600: loss = 0.08022
  Ep00 step 11500/13600: loss = 0.08020
  Ep00 step 11600/13600: loss = 0.07763
  Ep00 step 11700/13600: loss = 0.08128
  Ep00 step 11800/13600: loss = 0.07773
  Ep00 step 11900/13600: loss = 0.07800
  Ep00 step 12000/13600: loss = 0.07427
  Ep00 step 12100/13600: loss = 0.07991
  Ep00 step 12200/13600: loss = 0.07922
  Ep00 step 12300/13600: loss = 0.07505
  Ep00 step 12400/13600: loss = 0.07890
  Ep00 step 12500/13600: loss = 0.07778
  Ep00 step 12600/13600: loss = 0.08117
  Ep00 step 12700/13600: loss = 0.07682
  Ep00 step 12800/13600: loss = 0.08136
  Ep00 step 12900/13600: loss = 0.08230
  Ep00 step 13000/13600: loss = 0.08138
  Ep00 step 13100/13600: loss = 0.07750
  Ep00 step 13200/13600: loss = 0.08062
  Ep00 step 13300/13600: loss = 0.08057
  Ep00 step 13400/13600: loss = 0.07432
  Ep00 step 13500/13600: loss = 0.07736
  Ep00 step 13600/13600: loss = 0.08045

Epoch 00/6 | train=0.09082 val=0.10235 | AUC=['0.999', '0.996', '0.992', '0.990'] PR=['0.987', '0.971', '0.952', '0.955'] | CASCADE-only AUC=['0.998', '0.994', '0.988', '0.987'] PR=['0.948', '0.928', '0.903', '0.918'] | 884s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.10235)
  Ep01 step  100/13600: loss = 0.07771
  Ep01 step  200/13600: loss = 0.08383
  Ep01 step  300/13600: loss = 0.07907
  Ep01 step  400/13600: loss = 0.07862
  Ep01 step  500/13600: loss = 0.07443
  Ep01 step  600/13600: loss = 0.07770
  Ep01 step  700/13600: loss = 0.07663
  Ep01 step  800/13600: loss = 0.07947
  Ep01 step  900/13600: loss = 0.07848
  Ep01 step 1000/13600: loss = 0.07695
  Ep01 step 1100/13600: loss = 0.07884
  Ep01 step 1200/13600: loss = 0.07996
  Ep01 step 1300/13600: loss = 0.07900
  Ep01 step 1400/13600: loss = 0.07760
  Ep01 step 1500/13600: loss = 0.07569
  Ep01 step 1600/13600: loss = 0.07922
  Ep01 step 1700/13600: loss = 0.08093
  Ep01 step 1800/13600: loss = 0.07779
  Ep01 step 1900/13600: loss = 0.08179
  Ep01 step 2000/13600: loss = 0.07843
  Ep01 step 2100/13600: loss = 0.07964
  Ep01 step 2200/13600: loss = 0.08082
  Ep01 step 2300/13600: loss = 0.07691
  Ep01 step 2400/13600: loss = 0.07792
  Ep01 step 2500/13600: loss = 0.07722
  Ep01 step 2600/13600: loss = 0.07747
  Ep01 step 2700/13600: loss = 0.07438
  Ep01 step 2800/13600: loss = 0.07687
  Ep01 step 2900/13600: loss = 0.07544
  Ep01 step 3000/13600: loss = 0.07756
  Ep01 step 3100/13600: loss = 0.07553
  Ep01 step 3200/13600: loss = 0.07702
  Ep01 step 3300/13600: loss = 0.07695
  Ep01 step 3400/13600: loss = 0.07666
  Ep01 step 3500/13600: loss = 0.08131
  Ep01 step 3600/13600: loss = 0.07925
  Ep01 step 3700/13600: loss = 0.07601
  Ep01 step 3800/13600: loss = 0.07917
  Ep01 step 3900/13600: loss = 0.08208
  Ep01 step 4000/13600: loss = 0.07766
  Ep01 step 4100/13600: loss = 0.07693
  Ep01 step 4200/13600: loss = 0.07616
  Ep01 step 4300/13600: loss = 0.07331
  Ep01 step 4400/13600: loss = 0.07987
  Ep01 step 4500/13600: loss = 0.07984
  Ep01 step 4600/13600: loss = 0.07700
  Ep01 step 4700/13600: loss = 0.07864
  Ep01 step 4800/13600: loss = 0.07945
  Ep01 step 4900/13600: loss = 0.08079
  Ep01 step 5000/13600: loss = 0.07431
  Ep01 step 5100/13600: loss = 0.07845
  Ep01 step 5200/13600: loss = 0.07782
  Ep01 step 5300/13600: loss = 0.07814
  Ep01 step 5400/13600: loss = 0.07643
  Ep01 step 5500/13600: loss = 0.07628
  Ep01 step 5600/13600: loss = 0.07618
  Ep01 step 5700/13600: loss = 0.07497
  Ep01 step 5800/13600: loss = 0.07614
  Ep01 step 5900/13600: loss = 0.07780
  Ep01 step 6000/13600: loss = 0.07985
  Ep01 step 6100/13600: loss = 0.07489
  Ep01 step 6200/13600: loss = 0.07653
  Ep01 step 6300/13600: loss = 0.07743
  Ep01 step 6400/13600: loss = 0.07664
  Ep01 step 6500/13600: loss = 0.07611
  Ep01 step 6600/13600: loss = 0.07622
  Ep01 step 6700/13600: loss = 0.07598
  Ep01 step 6800/13600: loss = 0.07346
  Ep01 step 6900/13600: loss = 0.08044
  Ep01 step 7000/13600: loss = 0.08068
  Ep01 step 7100/13600: loss = 0.07447
  Ep01 step 7200/13600: loss = 0.08068
  Ep01 step 7300/13600: loss = 0.07614
  Ep01 step 7400/13600: loss = 0.07779
  Ep01 step 7500/13600: loss = 0.07748
  Ep01 step 7600/13600: loss = 0.07680
  Ep01 step 7700/13600: loss = 0.07665
  Ep01 step 7800/13600: loss = 0.07938
  Ep01 step 7900/13600: loss = 0.07712
  Ep01 step 8000/13600: loss = 0.07606
  Ep01 step 8100/13600: loss = 0.07403
  Ep01 step 8200/13600: loss = 0.07659
  Ep01 step 8300/13600: loss = 0.07688
  Ep01 step 8400/13600: loss = 0.07400
  Ep01 step 8500/13600: loss = 0.07303
  Ep01 step 8600/13600: loss = 0.07524
  Ep01 step 8700/13600: loss = 0.07457
  Ep01 step 8800/13600: loss = 0.07960
  Ep01 step 8900/13600: loss = 0.07943
  Ep01 step 9000/13600: loss = 0.07666
  Ep01 step 9100/13600: loss = 0.07572
  Ep01 step 9200/13600: loss = 0.07602
  Ep01 step 9300/13600: loss = 0.07828
  Ep01 step 9400/13600: loss = 0.07944
  Ep01 step 9500/13600: loss = 0.07723
  Ep01 step 9600/13600: loss = 0.07546
  Ep01 step 9700/13600: loss = 0.07412
  Ep01 step 9800/13600: loss = 0.07155
  Ep01 step 9900/13600: loss = 0.07565
  Ep01 step 10000/13600: loss = 0.07699
  Ep01 step 10100/13600: loss = 0.07665
  Ep01 step 10200/13600: loss = 0.07643
  Ep01 step 10300/13600: loss = 0.07639
  Ep01 step 10400/13600: loss = 0.07627
  Ep01 step 10500/13600: loss = 0.07803
  Ep01 step 10600/13600: loss = 0.07422
  Ep01 step 10700/13600: loss = 0.07261
  Ep01 step 10800/13600: loss = 0.07564
  Ep01 step 10900/13600: loss = 0.07186
  Ep01 step 11000/13600: loss = 0.07603
  Ep01 step 11100/13600: loss = 0.07512
  Ep01 step 11200/13600: loss = 0.07943
  Ep01 step 11300/13600: loss = 0.07694
  Ep01 step 11400/13600: loss = 0.07347
  Ep01 step 11500/13600: loss = 0.07076
  Ep01 step 11600/13600: loss = 0.07302
  Ep01 step 11700/13600: loss = 0.08078
  Ep01 step 11800/13600: loss = 0.07483
  Ep01 step 11900/13600: loss = 0.07284
  Ep01 step 12000/13600: loss = 0.07516
  Ep01 step 12100/13600: loss = 0.07916
  Ep01 step 12200/13600: loss = 0.07862
  Ep01 step 12300/13600: loss = 0.07697
  Ep01 step 12400/13600: loss = 0.07545
  Ep01 step 12500/13600: loss = 0.07752
  Ep01 step 12600/13600: loss = 0.07056
  Ep01 step 12700/13600: loss = 0.07876
  Ep01 step 12800/13600: loss = 0.07786
  Ep01 step 12900/13600: loss = 0.07388
  Ep01 step 13000/13600: loss = 0.08037
  Ep01 step 13100/13600: loss = 0.07829
  Ep01 step 13200/13600: loss = 0.07424
  Ep01 step 13300/13600: loss = 0.07838
  Ep01 step 13400/13600: loss = 0.08047
  Ep01 step 13500/13600: loss = 0.07252
  Ep01 step 13600/13600: loss = 0.07474

Epoch 01/6 | train=0.07700 val=0.10114 | AUC=['0.999', '0.996', '0.992', '0.990'] PR=['0.987', '0.962', '0.949', '0.949'] | CASCADE-only AUC=['0.998', '0.993', '0.988', '0.986'] PR=['0.951', '0.911', '0.897', '0.910'] | 1769s

  [checkpoint] best.pt updated (epoch 1, val_loss=0.10114)
  Ep02 step  100/13600: loss = 0.07611
  Ep02 step  200/13600: loss = 0.07591
  Ep02 step  300/13600: loss = 0.07648
  Ep02 step  400/13600: loss = 0.07398
  Ep02 step  500/13600: loss = 0.06984
  Ep02 step  600/13600: loss = 0.07628
  Ep02 step  700/13600: loss = 0.07373
  Ep02 step  800/13600: loss = 0.07702
  Ep02 step  900/13600: loss = 0.07733
  Ep02 step 1000/13600: loss = 0.07502
  Ep02 step 1100/13600: loss = 0.07745
  Ep02 step 1200/13600: loss = 0.07317
  Ep02 step 1300/13600: loss = 0.07587
  Ep02 step 1400/13600: loss = 0.07755
  Ep02 step 1500/13600: loss = 0.08009
