arm=dynamic_timing  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_2x2_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep00 step  100/13600: loss = 0.37222
  Ep00 step  200/13600: loss = 0.32306
  Ep00 step  300/13600: loss = 0.24087
  Ep00 step  400/13600: loss = 0.24860
  Ep00 step  500/13600: loss = 0.22871
  Ep00 step  600/13600: loss = 0.21117
  Ep00 step  700/13600: loss = 0.19911
  Ep00 step  800/13600: loss = 0.21597
  Ep00 step  900/13600: loss = 0.21359
  Ep00 step 1000/13600: loss = 0.19294
  Ep00 step 1100/13600: loss = 0.20656
  Ep00 step 1200/13600: loss = 0.18390
  Ep00 step 1300/13600: loss = 0.18432
  Ep00 step 1400/13600: loss = 0.18481
  Ep00 step 1500/13600: loss = 0.18314
  Ep00 step 1600/13600: loss = 0.17858
  Ep00 step 1700/13600: loss = 0.19741
  Ep00 step 1800/13600: loss = 0.17897
  Ep00 step 1900/13600: loss = 0.17255
  Ep00 step 2000/13600: loss = 0.18057
  Ep00 step 2100/13600: loss = 0.19186
  Ep00 step 2200/13600: loss = 0.18414
  Ep00 step 2300/13600: loss = 0.16460
  Ep00 step 2400/13600: loss = 0.18976
  Ep00 step 2500/13600: loss = 0.17909
  Ep00 step 2600/13600: loss = 0.16775
  Ep00 step 2700/13600: loss = 0.17117
  Ep00 step 2800/13600: loss = 0.17602
  Ep00 step 2900/13600: loss = 0.17781
  Ep00 step 3000/13600: loss = 0.17160
  Ep00 step 3100/13600: loss = 0.17274
  Ep00 step 3200/13600: loss = 0.17393
  Ep00 step 3300/13600: loss = 0.16568
  Ep00 step 3400/13600: loss = 0.17221
  Ep00 step 3500/13600: loss = 0.17975
  Ep00 step 3600/13600: loss = 0.16702
  Ep00 step 3700/13600: loss = 0.16718
  Ep00 step 3800/13600: loss = 0.16760
  Ep00 step 3900/13600: loss = 0.15659
  Ep00 step 4000/13600: loss = 0.17024
  Ep00 step 4100/13600: loss = 0.16932
  Ep00 step 4200/13600: loss = 0.16477
  Ep00 step 4300/13600: loss = 0.15970
  Ep00 step 4400/13600: loss = 0.16343
  Ep00 step 4500/13600: loss = 0.16864
  Ep00 step 4600/13600: loss = 0.16566
  Ep00 step 4700/13600: loss = 0.18002
  Ep00 step 4800/13600: loss = 0.15780
  Ep00 step 4900/13600: loss = 0.14315
  Ep00 step 5000/13600: loss = 0.17014
  Ep00 step 5100/13600: loss = 0.14883
  Ep00 step 5200/13600: loss = 0.16611
  Ep00 step 5300/13600: loss = 0.14871
  Ep00 step 5400/13600: loss = 0.15925
  Ep00 step 5500/13600: loss = 0.16881
  Ep00 step 5600/13600: loss = 0.15520
  Ep00 step 5700/13600: loss = 0.15493
  Ep00 step 5800/13600: loss = 0.16291
  Ep00 step 5900/13600: loss = 0.14981
  Ep00 step 6000/13600: loss = 0.14484
  Ep00 step 6100/13600: loss = 0.15649
  Ep00 step 6200/13600: loss = 0.15210
  Ep00 step 6300/13600: loss = 0.15336
  Ep00 step 6400/13600: loss = 0.14366
  Ep00 step 6500/13600: loss = 0.15501
  Ep00 step 6600/13600: loss = 0.16289
  Ep00 step 6700/13600: loss = 0.16193
  Ep00 step 6800/13600: loss = 0.15604
  Ep00 step 6900/13600: loss = 0.15246
  Ep00 step 7000/13600: loss = 0.15882
  Ep00 step 7100/13600: loss = 0.16191
  Ep00 step 7200/13600: loss = 0.14442
  Ep00 step 7300/13600: loss = 0.16206
  Ep00 step 7400/13600: loss = 0.15671
  Ep00 step 7500/13600: loss = 0.14991
  Ep00 step 7600/13600: loss = 0.15268
  Ep00 step 7700/13600: loss = 0.15569
  Ep00 step 7800/13600: loss = 0.14809
  Ep00 step 7900/13600: loss = 0.15423
  Ep00 step 8000/13600: loss = 0.15871
  Ep00 step 8100/13600: loss = 0.16246
  Ep00 step 8200/13600: loss = 0.16024
  Ep00 step 8300/13600: loss = 0.15976
  Ep00 step 8400/13600: loss = 0.15389
  Ep00 step 8500/13600: loss = 0.15899
  Ep00 step 8600/13600: loss = 0.16593
  Ep00 step 8700/13600: loss = 0.15511
  Ep00 step 8800/13600: loss = 0.15172
  Ep00 step 8900/13600: loss = 0.14786
  Ep00 step 9000/13600: loss = 0.15403
  Ep00 step 9100/13600: loss = 0.16187
  Ep00 step 9200/13600: loss = 0.14991
  Ep00 step 9300/13600: loss = 0.14946
  Ep00 step 9400/13600: loss = 0.15691
  Ep00 step 9500/13600: loss = 0.15450
  Ep00 step 9600/13600: loss = 0.15449
  Ep00 step 9700/13600: loss = 0.15503
  Ep00 step 9800/13600: loss = 0.14956
  Ep00 step 9900/13600: loss = 0.15540
  Ep00 step 10000/13600: loss = 0.15415
  Ep00 step 10100/13600: loss = 0.15521
  Ep00 step 10200/13600: loss = 0.15554
  Ep00 step 10300/13600: loss = 0.15458
  Ep00 step 10400/13600: loss = 0.14552
  Ep00 step 10500/13600: loss = 0.14651
  Ep00 step 10600/13600: loss = 0.14728
  Ep00 step 10700/13600: loss = 0.14806
  Ep00 step 10800/13600: loss = 0.15046
  Ep00 step 10900/13600: loss = 0.14560
  Ep00 step 11000/13600: loss = 0.15502
  Ep00 step 11100/13600: loss = 0.14096
  Ep00 step 11200/13600: loss = 0.15226
  Ep00 step 11300/13600: loss = 0.15717
  Ep00 step 11400/13600: loss = 0.15408
  Ep00 step 11500/13600: loss = 0.15527
  Ep00 step 11600/13600: loss = 0.15733
  Ep00 step 11700/13600: loss = 0.15758
  Ep00 step 11800/13600: loss = 0.14748
  Ep00 step 11900/13600: loss = 0.15327
  Ep00 step 12000/13600: loss = 0.14568
  Ep00 step 12100/13600: loss = 0.15205
  Ep00 step 12200/13600: loss = 0.15746
  Ep00 step 12300/13600: loss = 0.14573
  Ep00 step 12400/13600: loss = 0.15193
  Ep00 step 12500/13600: loss = 0.14390
  Ep00 step 12600/13600: loss = 0.16002
  Ep00 step 12700/13600: loss = 0.14705
  Ep00 step 12800/13600: loss = 0.15240
  Ep00 step 12900/13600: loss = 0.15762
  Ep00 step 13000/13600: loss = 0.14828
  Ep00 step 13100/13600: loss = 0.14405
  Ep00 step 13200/13600: loss = 0.15176
  Ep00 step 13300/13600: loss = 0.16128
  Ep00 step 13400/13600: loss = 0.14107
  Ep00 step 13500/13600: loss = 0.14110
  Ep00 step 13600/13600: loss = 0.15352

Epoch 00/6 | train=0.16624 val=0.17195 | AUC=['0.993', '0.987', '0.981', '0.980'] PR=['0.952', '0.943', '0.932', '0.940'] | CASCADE-only AUC=['0.989', '0.981', '0.975', '0.975'] PR=['0.892', '0.893', '0.883', '0.902'] | 909s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.17195)
  Ep01 step  100/13600: loss = 0.14874
  Ep01 step  200/13600: loss = 0.15279
  Ep01 step  300/13600: loss = 0.15992
  Ep01 step  400/13600: loss = 0.15133
  Ep01 step  500/13600: loss = 0.13268
  Ep01 step  600/13600: loss = 0.15191
  Ep01 step  700/13600: loss = 0.14119
  Ep01 step  800/13600: loss = 0.15030
  Ep01 step  900/13600: loss = 0.15566
  Ep01 step 1000/13600: loss = 0.13659
  Ep01 step 1100/13600: loss = 0.15255
  Ep01 step 1200/13600: loss = 0.15956
  Ep01 step 1300/13600: loss = 0.15204
  Ep01 step 1400/13600: loss = 0.14947
  Ep01 step 1500/13600: loss = 0.15329
  Ep01 step 1600/13600: loss = 0.14934
  Ep01 step 1700/13600: loss = 0.14554
  Ep01 step 1800/13600: loss = 0.15934
  Ep01 step 1900/13600: loss = 0.15608
  Ep01 step 2000/13600: loss = 0.15568
  Ep01 step 2100/13600: loss = 0.14432
  Ep01 step 2200/13600: loss = 0.15815
  Ep01 step 2300/13600: loss = 0.14502
  Ep01 step 2400/13600: loss = 0.14717
  Ep01 step 2500/13600: loss = 0.15395
  Ep01 step 2600/13600: loss = 0.14804
  Ep01 step 2700/13600: loss = 0.14685
  Ep01 step 2800/13600: loss = 0.16101
  Ep01 step 2900/13600: loss = 0.13708
  Ep01 step 3000/13600: loss = 0.14710
  Ep01 step 3100/13600: loss = 0.13824
  Ep01 step 3200/13600: loss = 0.14309
  Ep01 step 3300/13600: loss = 0.14870
  Ep01 step 3400/13600: loss = 0.15453
  Ep01 step 3500/13600: loss = 0.15371
  Ep01 step 3600/13600: loss = 0.15365
  Ep01 step 3700/13600: loss = 0.14718
  Ep01 step 3800/13600: loss = 0.16106
  Ep01 step 3900/13600: loss = 0.15790
  Ep01 step 4000/13600: loss = 0.14724
  Ep01 step 4100/13600: loss = 0.14492
  Ep01 step 4200/13600: loss = 0.15064
  Ep01 step 4300/13600: loss = 0.13725
  Ep01 step 4400/13600: loss = 0.15619
  Ep01 step 4500/13600: loss = 0.13957
  Ep01 step 4600/13600: loss = 0.14482
  Ep01 step 4700/13600: loss = 0.15134
  Ep01 step 4800/13600: loss = 0.14819
  Ep01 step 4900/13600: loss = 0.14969
  Ep01 step 5000/13600: loss = 0.13474
  Ep01 step 5100/13600: loss = 0.14788
  Ep01 step 5200/13600: loss = 0.14411
  Ep01 step 5300/13600: loss = 0.14898
  Ep01 step 5400/13600: loss = 0.13949
  Ep01 step 5500/13600: loss = 0.13901
  Ep01 step 5600/13600: loss = 0.14693
  Ep01 step 5700/13600: loss = 0.14270
  Ep01 step 5800/13600: loss = 0.14447
  Ep01 step 5900/13600: loss = 0.14680
  Ep01 step 6000/13600: loss = 0.15040
  Ep01 step 6100/13600: loss = 0.14921
  Ep01 step 6200/13600: loss = 0.14252
  Ep01 step 6300/13600: loss = 0.15489
  Ep01 step 6400/13600: loss = 0.14489
  Ep01 step 6500/13600: loss = 0.15344
  Ep01 step 6600/13600: loss = 0.15286
  Ep01 step 6700/13600: loss = 0.14597
  Ep01 step 6800/13600: loss = 0.13671
  Ep01 step 6900/13600: loss = 0.15713
  Ep01 step 7000/13600: loss = 0.15535
  Ep01 step 7100/13600: loss = 0.14902
  Ep01 step 7200/13600: loss = 0.13929
  Ep01 step 7300/13600: loss = 0.13995
  Ep01 step 7400/13600: loss = 0.14058
  Ep01 step 7500/13600: loss = 0.15753
  Ep01 step 7600/13600: loss = 0.14311
  Ep01 step 7700/13600: loss = 0.14833
  Ep01 step 7800/13600: loss = 0.15424
  Ep01 step 7900/13600: loss = 0.14522
  Ep01 step 8000/13600: loss = 0.14455
  Ep01 step 8100/13600: loss = 0.14932
  Ep01 step 8200/13600: loss = 0.14454
  Ep01 step 8300/13600: loss = 0.14833
  Ep01 step 8400/13600: loss = 0.14055
  Ep01 step 8500/13600: loss = 0.13691
  Ep01 step 8600/13600: loss = 0.14644
  Ep01 step 8700/13600: loss = 0.15052
  Ep01 step 8800/13600: loss = 0.14570
  Ep01 step 8900/13600: loss = 0.15193
  Ep01 step 9000/13600: loss = 0.14793
  Ep01 step 9100/13600: loss = 0.13976
  Ep01 step 9200/13600: loss = 0.14351
  Ep01 step 9300/13600: loss = 0.14553
  Ep01 step 9400/13600: loss = 0.14361
  Ep01 step 9500/13600: loss = 0.14987
  Ep01 step 9600/13600: loss = 0.13406
  Ep01 step 9700/13600: loss = 0.13387
  Ep01 step 9800/13600: loss = 0.13984
  Ep01 step 9900/13600: loss = 0.14906
  Ep01 step 10000/13600: loss = 0.14733
  Ep01 step 10100/13600: loss = 0.14921
  Ep01 step 10200/13600: loss = 0.13716
  Ep01 step 10300/13600: loss = 0.14646
  Ep01 step 10400/13600: loss = 0.14641
  Ep01 step 10500/13600: loss = 0.14038
  Ep01 step 10600/13600: loss = 0.13672
  Ep01 step 10700/13600: loss = 0.13448
  Ep01 step 10800/13600: loss = 0.14163
  Ep01 step 10900/13600: loss = 0.13443
  Ep01 step 11000/13600: loss = 0.14439
  Ep01 step 11100/13600: loss = 0.14812
  Ep01 step 11200/13600: loss = 0.15394
  Ep01 step 11300/13600: loss = 0.15343
  Ep01 step 11400/13600: loss = 0.13804
  Ep01 step 11500/13600: loss = 0.14186
  Ep01 step 11600/13600: loss = 0.13957
  Ep01 step 11700/13600: loss = 0.15370
  Ep01 step 11800/13600: loss = 0.13782
  Ep01 step 11900/13600: loss = 0.13657
  Ep01 step 12000/13600: loss = 0.13880
  Ep01 step 12100/13600: loss = 0.15515
  Ep01 step 12200/13600: loss = 0.14493
  Ep01 step 12300/13600: loss = 0.14409
  Ep01 step 12400/13600: loss = 0.13413
  Ep01 step 12500/13600: loss = 0.15136
  Ep01 step 12600/13600: loss = 0.13514
  Ep01 step 12700/13600: loss = 0.14734
  Ep01 step 12800/13600: loss = 0.14546
  Ep01 step 12900/13600: loss = 0.13862
  Ep01 step 13000/13600: loss = 0.14996
  Ep01 step 13100/13600: loss = 0.15148
  Ep01 step 13200/13600: loss = 0.14509
  Ep01 step 13300/13600: loss = 0.15221
  Ep01 step 13400/13600: loss = 0.16037
  Ep01 step 13500/13600: loss = 0.14088
  Ep01 step 13600/13600: loss = 0.14523

Epoch 01/6 | train=0.14672 val=0.16792 | AUC=['0.994', '0.989', '0.983', '0.984'] PR=['0.961', '0.951', '0.942', '0.949'] | CASCADE-only AUC=['0.992', '0.985', '0.979', '0.979'] PR=['0.911', '0.906', '0.900', '0.917'] | 1779s

  [checkpoint] best.pt updated (epoch 1, val_loss=0.16792)
  Ep02 step  100/13600: loss = 0.14395
  Ep02 step  200/13600: loss = 0.14595
  Ep02 step  300/13600: loss = 0.14109
  Ep02 step  400/13600: loss = 0.14080
  Ep02 step  500/13600: loss = 0.13187
  Ep02 step  600/13600: loss = 0.14424
  Ep02 step  700/13600: loss = 0.14825
  Ep02 step  800/13600: loss = 0.14747
  Ep02 step  900/13600: loss = 0.15284
  Ep02 step 1000/13600: loss = 0.14503
  Ep02 step 1100/13600: loss = 0.14864
  Ep02 step 1200/13600: loss = 0.13908
  Ep02 step 1300/13600: loss = 0.15106
  Ep02 step 1400/13600: loss = 0.14691
