arm=static_mask  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep00 step  100/13600: loss = 0.41901
  Ep00 step  200/13600: loss = 0.23022
  Ep00 step  300/13600: loss = 0.16748
  Ep00 step  400/13600: loss = 0.14775
  Ep00 step  500/13600: loss = 0.13073
  Ep00 step  600/13600: loss = 0.12443
  Ep00 step  700/13600: loss = 0.11970
  Ep00 step  800/13600: loss = 0.12553
  Ep00 step  900/13600: loss = 0.12388
  Ep00 step 1000/13600: loss = 0.11646
  Ep00 step 1100/13600: loss = 0.11684
  Ep00 step 1200/13600: loss = 0.10931
  Ep00 step 1300/13600: loss = 0.11187
  Ep00 step 1400/13600: loss = 0.10948
  Ep00 step 1500/13600: loss = 0.11023
  Ep00 step 1600/13600: loss = 0.10633
  Ep00 step 1700/13600: loss = 0.11018
  Ep00 step 1800/13600: loss = 0.10651
  Ep00 step 1900/13600: loss = 0.10383
  Ep00 step 2000/13600: loss = 0.10693
  Ep00 step 2100/13600: loss = 0.10913
  Ep00 step 2200/13600: loss = 0.10612
  Ep00 step 2300/13600: loss = 0.10467
  Ep00 step 2400/13600: loss = 0.11125
  Ep00 step 2500/13600: loss = 0.10785
  Ep00 step 2600/13600: loss = 0.10159
  Ep00 step 2700/13600: loss = 0.09960
  Ep00 step 2800/13600: loss = 0.10135
  Ep00 step 2900/13600: loss = 0.10266
  Ep00 step 3000/13600: loss = 0.10065
  Ep00 step 3100/13600: loss = 0.10184
  Ep00 step 3200/13600: loss = 0.10128
  Ep00 step 3300/13600: loss = 0.09913
  Ep00 step 3400/13600: loss = 0.10204
  Ep00 step 3500/13600: loss = 0.10169
  Ep00 step 3600/13600: loss = 0.09930
  Ep00 step 3700/13600: loss = 0.09798
  Ep00 step 3800/13600: loss = 0.09867
  Ep00 step 3900/13600: loss = 0.09470
  Ep00 step 4000/13600: loss = 0.09803
  Ep00 step 4100/13600: loss = 0.10000
  Ep00 step 4200/13600: loss = 0.09797
  Ep00 step 4300/13600: loss = 0.09583
  Ep00 step 4400/13600: loss = 0.09738
  Ep00 step 4500/13600: loss = 0.09750
  Ep00 step 4600/13600: loss = 0.09575
  Ep00 step 4700/13600: loss = 0.10024
  Ep00 step 4800/13600: loss = 0.09448
  Ep00 step 4900/13600: loss = 0.08926
  Ep00 step 5000/13600: loss = 0.09641
  Ep00 step 5100/13600: loss = 0.09369
  Ep00 step 5200/13600: loss = 0.09771
  Ep00 step 5300/13600: loss = 0.09172
  Ep00 step 5400/13600: loss = 0.09645
  Ep00 step 5500/13600: loss = 0.09528
  Ep00 step 5600/13600: loss = 0.09470
  Ep00 step 5700/13600: loss = 0.09387
  Ep00 step 5800/13600: loss = 0.09284
  Ep00 step 5900/13600: loss = 0.08900
  Ep00 step 6000/13600: loss = 0.08743
  Ep00 step 6100/13600: loss = 0.09309
  Ep00 step 6200/13600: loss = 0.08987
  Ep00 step 6300/13600: loss = 0.09137
  Ep00 step 6400/13600: loss = 0.08995
  Ep00 step 6500/13600: loss = 0.08940
  Ep00 step 6600/13600: loss = 0.09452
  Ep00 step 6700/13600: loss = 0.09318
  Ep00 step 6800/13600: loss = 0.09661
  Ep00 step 6900/13600: loss = 0.08591
  Ep00 step 7000/13600: loss = 0.09096
  Ep00 step 7100/13600: loss = 0.09202
  Ep00 step 7200/13600: loss = 0.08868
  Ep00 step 7300/13600: loss = 0.09250
  Ep00 step 7400/13600: loss = 0.08935
  Ep00 step 7500/13600: loss = 0.08972
  Ep00 step 7600/13600: loss = 0.09166
  Ep00 step 7700/13600: loss = 0.09220
  Ep00 step 7800/13600: loss = 0.08715
  Ep00 step 7900/13600: loss = 0.08910
  Ep00 step 8000/13600: loss = 0.08987
  Ep00 step 8100/13600: loss = 0.09200
  Ep00 step 8200/13600: loss = 0.09109
  Ep00 step 8300/13600: loss = 0.09153
  Ep00 step 8400/13600: loss = 0.09127
  Ep00 step 8500/13600: loss = 0.09136
  Ep00 step 8600/13600: loss = 0.09212
  Ep00 step 8700/13600: loss = 0.08920
  Ep00 step 8800/13600: loss = 0.09021
  Ep00 step 8900/13600: loss = 0.08720
  Ep00 step 9000/13600: loss = 0.08919
  Ep00 step 9100/13600: loss = 0.09288
  Ep00 step 9200/13600: loss = 0.09030
  Ep00 step 9300/13600: loss = 0.08727
  Ep00 step 9400/13600: loss = 0.08898
  Ep00 step 9500/13600: loss = 0.09073
  Ep00 step 9600/13600: loss = 0.08806
  Ep00 step 9700/13600: loss = 0.09045
  Ep00 step 9800/13600: loss = 0.08954
  Ep00 step 9900/13600: loss = 0.09041
  Ep00 step 10000/13600: loss = 0.08856
  Ep00 step 10100/13600: loss = 0.08965
  Ep00 step 10200/13600: loss = 0.08964
  Ep00 step 10300/13600: loss = 0.08796
  Ep00 step 10400/13600: loss = 0.08777
  Ep00 step 10500/13600: loss = 0.08606
  Ep00 step 10600/13600: loss = 0.08579
  Ep00 step 10700/13600: loss = 0.08713
  Ep00 step 10800/13600: loss = 0.08796
  Ep00 step 10900/13600: loss = 0.08799
  Ep00 step 11000/13600: loss = 0.08936
  Ep00 step 11100/13600: loss = 0.08691
  Ep00 step 11200/13600: loss = 0.08931
  Ep00 step 11300/13600: loss = 0.08782
  Ep00 step 11400/13600: loss = 0.08805
  Ep00 step 11500/13600: loss = 0.08862
  Ep00 step 11600/13600: loss = 0.08771
  Ep00 step 11700/13600: loss = 0.08957
  Ep00 step 11800/13600: loss = 0.08638
  Ep00 step 11900/13600: loss = 0.08824
  Ep00 step 12000/13600: loss = 0.08447
  Ep00 step 12100/13600: loss = 0.08715
  Ep00 step 12200/13600: loss = 0.08878
  Ep00 step 12300/13600: loss = 0.08525
  Ep00 step 12400/13600: loss = 0.08801
  Ep00 step 12500/13600: loss = 0.08484
  Ep00 step 12600/13600: loss = 0.08920
  Ep00 step 12700/13600: loss = 0.08484
  Ep00 step 12800/13600: loss = 0.08727
  Ep00 step 12900/13600: loss = 0.08947
  Ep00 step 13000/13600: loss = 0.08594
  Ep00 step 13100/13600: loss = 0.08531
  Ep00 step 13200/13600: loss = 0.08921
  Ep00 step 13300/13600: loss = 0.08924
  Ep00 step 13400/13600: loss = 0.08318
  Ep00 step 13500/13600: loss = 0.08497
  Ep00 step 13600/13600: loss = 0.08697

Epoch 00/6 | train=0.09926 val=0.11154 | AUC=['0.999', '0.996', '0.991', '0.989'] PR=['0.986', '0.964', '0.946', '0.950'] | CASCADE-only AUC=['0.998', '0.993', '0.987', '0.985'] PR=['0.946', '0.914', '0.891', '0.911'] | mono_viol=0.00000 | 671s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.11154)
  Ep01 step  100/13600: loss = 0.08624
  Ep01 step  200/13600: loss = 0.08889
  Ep01 step  300/13600: loss = 0.08910
  Ep01 step  400/13600: loss = 0.08668
  Ep01 step  500/13600: loss = 0.08097
  Ep01 step  600/13600: loss = 0.08738
  Ep01 step  700/13600: loss = 0.08432
  Ep01 step  800/13600: loss = 0.08779
  Ep01 step  900/13600: loss = 0.08706
  Ep01 step 1000/13600: loss = 0.08142
  Ep01 step 1100/13600: loss = 0.08772
  Ep01 step 1200/13600: loss = 0.08704
  Ep01 step 1300/13600: loss = 0.08676
  Ep01 step 1400/13600: loss = 0.08741
  Ep01 step 1500/13600: loss = 0.08528
  Ep01 step 1600/13600: loss = 0.08614
  Ep01 step 1700/13600: loss = 0.08589
  Ep01 step 1800/13600: loss = 0.08829
  Ep01 step 1900/13600: loss = 0.08681
  Ep01 step 2000/13600: loss = 0.08648
  Ep01 step 2100/13600: loss = 0.08719
  Ep01 step 2200/13600: loss = 0.08796
  Ep01 step 2300/13600: loss = 0.08371
  Ep01 step 2400/13600: loss = 0.08642
  Ep01 step 2500/13600: loss = 0.08583
  Ep01 step 2600/13600: loss = 0.08594
  Ep01 step 2700/13600: loss = 0.08399
  Ep01 step 2800/13600: loss = 0.08609
  Ep01 step 2900/13600: loss = 0.08268
  Ep01 step 3000/13600: loss = 0.08434
  Ep01 step 3100/13600: loss = 0.08368
  Ep01 step 3200/13600: loss = 0.08536
  Ep01 step 3300/13600: loss = 0.08531
  Ep01 step 3400/13600: loss = 0.08591
  Ep01 step 3500/13600: loss = 0.08657
  Ep01 step 3600/13600: loss = 0.08820
  Ep01 step 3700/13600: loss = 0.08457
  Ep01 step 3800/13600: loss = 0.08871
  Ep01 step 3900/13600: loss = 0.08694
  Ep01 step 4000/13600: loss = 0.08481
  Ep01 step 4100/13600: loss = 0.08609
  Ep01 step 4200/13600: loss = 0.08584
  Ep01 step 4300/13600: loss = 0.08197
  Ep01 step 4400/13600: loss = 0.08812
  Ep01 step 4500/13600: loss = 0.08702
  Ep01 step 4600/13600: loss = 0.08480
  Ep01 step 4700/13600: loss = 0.08445
  Ep01 step 4800/13600: loss = 0.08571
  Ep01 step 4900/13600: loss = 0.08661
  Ep01 step 5000/13600: loss = 0.08367
  Ep01 step 5100/13600: loss = 0.08795
  Ep01 step 5200/13600: loss = 0.08370
  Ep01 step 5300/13600: loss = 0.08462
