arm=static_timing  head=hazard  labels=/scratch/tj2587/results/legacy_v1_n1000  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/static_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/legacy_v1_n1000 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep00 step  100/13600: loss = 0.36877
  Ep00 step  200/13600: loss = 0.21362
  Ep00 step  300/13600: loss = 0.16060
  Ep00 step  400/13600: loss = 0.14376
  Ep00 step  500/13600: loss = 0.13094
  Ep00 step  600/13600: loss = 0.12260
  Ep00 step  700/13600: loss = 0.11826
  Ep00 step  800/13600: loss = 0.12521
  Ep00 step  900/13600: loss = 0.12281
  Ep00 step 1000/13600: loss = 0.11517
  Ep00 step 1100/13600: loss = 0.11433
  Ep00 step 1200/13600: loss = 0.10662
  Ep00 step 1300/13600: loss = 0.10876
  Ep00 step 1400/13600: loss = 0.10714
  Ep00 step 1500/13600: loss = 0.10785
  Ep00 step 1600/13600: loss = 0.10490
  Ep00 step 1700/13600: loss = 0.10674
  Ep00 step 1800/13600: loss = 0.10341
  Ep00 step 1900/13600: loss = 0.09989
  Ep00 step 2000/13600: loss = 0.10473
  Ep00 step 2100/13600: loss = 0.10703
  Ep00 step 2200/13600: loss = 0.10248
  Ep00 step 2300/13600: loss = 0.09960
  Ep00 step 2400/13600: loss = 0.10416
  Ep00 step 2500/13600: loss = 0.10590
  Ep00 step 2600/13600: loss = 0.09900
  Ep00 step 2700/13600: loss = 0.09383
  Ep00 step 2800/13600: loss = 0.09681
  Ep00 step 2900/13600: loss = 0.09813
  Ep00 step 3000/13600: loss = 0.09749
  Ep00 step 3100/13600: loss = 0.09798
  Ep00 step 3200/13600: loss = 0.09650
  Ep00 step 3300/13600: loss = 0.09268
  Ep00 step 3400/13600: loss = 0.09544
  Ep00 step 3500/13600: loss = 0.09583
  Ep00 step 3600/13600: loss = 0.09408
  Ep00 step 3700/13600: loss = 0.09412
  Ep00 step 3800/13600: loss = 0.09170
  Ep00 step 3900/13600: loss = 0.08913
  Ep00 step 4000/13600: loss = 0.09349
  Ep00 step 4100/13600: loss = 0.09456
  Ep00 step 4200/13600: loss = 0.09337
  Ep00 step 4300/13600: loss = 0.09036
  Ep00 step 4400/13600: loss = 0.09323
  Ep00 step 4500/13600: loss = 0.09281
  Ep00 step 4600/13600: loss = 0.08799
  Ep00 step 4700/13600: loss = 0.09642
  Ep00 step 4800/13600: loss = 0.08823
  Ep00 step 4900/13600: loss = 0.08294
  Ep00 step 5000/13600: loss = 0.08968
  Ep00 step 5100/13600: loss = 0.08729
  Ep00 step 5200/13600: loss = 0.09174
  Ep00 step 5300/13600: loss = 0.08598
  Ep00 step 5400/13600: loss = 0.09122
  Ep00 step 5500/13600: loss = 0.08956
  Ep00 step 5600/13600: loss = 0.08791
  Ep00 step 5700/13600: loss = 0.08903
  Ep00 step 5800/13600: loss = 0.08789
  Ep00 step 5900/13600: loss = 0.08225
  Ep00 step 6000/13600: loss = 0.08042
  Ep00 step 6100/13600: loss = 0.08677
  Ep00 step 6200/13600: loss = 0.08281
  Ep00 step 6300/13600: loss = 0.08663
  Ep00 step 6400/13600: loss = 0.08459
  Ep00 step 6500/13600: loss = 0.08374
  Ep00 step 6600/13600: loss = 0.08675
  Ep00 step 6700/13600: loss = 0.08531
  Ep00 step 6800/13600: loss = 0.08676
  Ep00 step 6900/13600: loss = 0.07726
  Ep00 step 7000/13600: loss = 0.08533
  Ep00 step 7100/13600: loss = 0.08545
  Ep00 step 7200/13600: loss = 0.08374
  Ep00 step 7300/13600: loss = 0.08419
  Ep00 step 7400/13600: loss = 0.08141
  Ep00 step 7500/13600: loss = 0.08331
  Ep00 step 7600/13600: loss = 0.08253
  Ep00 step 7700/13600: loss = 0.08525
  Ep00 step 7800/13600: loss = 0.07812
  Ep00 step 7900/13600: loss = 0.08096
  Ep00 step 8000/13600: loss = 0.08035
  Ep00 step 8100/13600: loss = 0.08830
  Ep00 step 8200/13600: loss = 0.08358
  Ep00 step 8300/13600: loss = 0.08344
  Ep00 step 8400/13600: loss = 0.08512
  Ep00 step 8500/13600: loss = 0.08448
  Ep00 step 8600/13600: loss = 0.08424
  Ep00 step 8700/13600: loss = 0.08363
  Ep00 step 8800/13600: loss = 0.08186
  Ep00 step 8900/13600: loss = 0.08016
  Ep00 step 9000/13600: loss = 0.08064
  Ep00 step 9100/13600: loss = 0.08490
  Ep00 step 9200/13600: loss = 0.08101
  Ep00 step 9300/13600: loss = 0.08007
  Ep00 step 9400/13600: loss = 0.07932
  Ep00 step 9500/13600: loss = 0.08086
  Ep00 step 9600/13600: loss = 0.07995
  Ep00 step 9700/13600: loss = 0.08268
  Ep00 step 9800/13600: loss = 0.08031
  Ep00 step 9900/13600: loss = 0.08208
  Ep00 step 10000/13600: loss = 0.08560
  Ep00 step 10100/13600: loss = 0.08081
  Ep00 step 10200/13600: loss = 0.08118
  Ep00 step 10300/13600: loss = 0.08012
  Ep00 step 10400/13600: loss = 0.07984
  Ep00 step 10500/13600: loss = 0.07680
  Ep00 step 10600/13600: loss = 0.07721
  Ep00 step 10700/13600: loss = 0.07860
  Ep00 step 10800/13600: loss = 0.08008
  Ep00 step 10900/13600: loss = 0.08206
  Ep00 step 11000/13600: loss = 0.08044
  Ep00 step 11100/13600: loss = 0.07852
  Ep00 step 11200/13600: loss = 0.07912
  Ep00 step 11300/13600: loss = 0.08250
  Ep00 step 11400/13600: loss = 0.08061
  Ep00 step 11500/13600: loss = 0.07982
  Ep00 step 11600/13600: loss = 0.07748
  Ep00 step 11700/13600: loss = 0.08109
  Ep00 step 11800/13600: loss = 0.07755
  Ep00 step 11900/13600: loss = 0.07828
  Ep00 step 12000/13600: loss = 0.07417
  Ep00 step 12100/13600: loss = 0.08043
  Ep00 step 12200/13600: loss = 0.07949
  Ep00 step 12300/13600: loss = 0.07499
  Ep00 step 12400/13600: loss = 0.07884
  Ep00 step 12500/13600: loss = 0.07733
  Ep00 step 12600/13600: loss = 0.08159
  Ep00 step 12700/13600: loss = 0.07665
  Ep00 step 12800/13600: loss = 0.08123
  Ep00 step 12900/13600: loss = 0.08158
  Ep00 step 13000/13600: loss = 0.08031
  Ep00 step 13100/13600: loss = 0.07684
  Ep00 step 13200/13600: loss = 0.08021
  Ep00 step 13300/13600: loss = 0.08101
  Ep00 step 13400/13600: loss = 0.07443
  Ep00 step 13500/13600: loss = 0.07736
  Ep00 step 13600/13600: loss = 0.08185

Epoch 00/6 | train=0.09256 val=0.10266 | AUC=['0.999', '0.996', '0.992', '0.990'] PR=['0.987', '0.971', '0.952', '0.955'] | CASCADE-only AUC=['0.998', '0.994', '0.988', '0.987'] PR=['0.949', '0.931', '0.905', '0.919'] | mono_viol=0.00000 | 719s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.10266)
  Ep01 step  100/13600: loss = 0.07773
  Ep01 step  200/13600: loss = 0.08403
  Ep01 step  300/13600: loss = 0.07951
  Ep01 step  400/13600: loss = 0.07832
  Ep01 step  500/13600: loss = 0.07394
  Ep01 step  600/13600: loss = 0.07747
  Ep01 step  700/13600: loss = 0.07628
  Ep01 step  800/13600: loss = 0.07900
  Ep01 step  900/13600: loss = 0.07784
  Ep01 step 1000/13600: loss = 0.07537
  Ep01 step 1100/13600: loss = 0.08043
  Ep01 step 1200/13600: loss = 0.08190
  Ep01 step 1300/13600: loss = 0.07918
  Ep01 step 1400/13600: loss = 0.07772
  Ep01 step 1500/13600: loss = 0.07553
  Ep01 step 1600/13600: loss = 0.07868
  Ep01 step 1700/13600: loss = 0.08056
  Ep01 step 1800/13600: loss = 0.07780
  Ep01 step 1900/13600: loss = 0.08067
  Ep01 step 2000/13600: loss = 0.07832
  Ep01 step 2100/13600: loss = 0.07885
  Ep01 step 2200/13600: loss = 0.08056
  Ep01 step 2300/13600: loss = 0.07633
  Ep01 step 2400/13600: loss = 0.07759
  Ep01 step 2500/13600: loss = 0.07687
  Ep01 step 2600/13600: loss = 0.07716
  Ep01 step 2700/13600: loss = 0.07440
  Ep01 step 2800/13600: loss = 0.07672
  Ep01 step 2900/13600: loss = 0.07510
  Ep01 step 3000/13600: loss = 0.07701
  Ep01 step 3100/13600: loss = 0.07532
  Ep01 step 3200/13600: loss = 0.07685
  Ep01 step 3300/13600: loss = 0.07629
  Ep01 step 3400/13600: loss = 0.07646
  Ep01 step 3500/13600: loss = 0.08121
  Ep01 step 3600/13600: loss = 0.07907
  Ep01 step 3700/13600: loss = 0.07568
  Ep01 step 3800/13600: loss = 0.07912
  Ep01 step 3900/13600: loss = 0.08204
  Ep01 step 4000/13600: loss = 0.07724
  Ep01 step 4100/13600: loss = 0.07675
  Ep01 step 4200/13600: loss = 0.07580
  Ep01 step 4300/13600: loss = 0.07296
  Ep01 step 4400/13600: loss = 0.07968
  Ep01 step 4500/13600: loss = 0.07934
  Ep01 step 4600/13600: loss = 0.07599
  Ep01 step 4700/13600: loss = 0.07774
  Ep01 step 4800/13600: loss = 0.07940
  Ep01 step 4900/13600: loss = 0.08070
