arm=dynamic_mask  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=unset  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_mask  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 695,960  head=hazard
Device: cuda
  Ep00 step  100/13600: loss = 0.44876
  Ep00 step  200/13600: loss = 0.34649
  Ep00 step  300/13600: loss = 0.25744
  Ep00 step  400/13600: loss = 0.26908
  Ep00 step  500/13600: loss = 0.24314
  Ep00 step  600/13600: loss = 0.22730
  Ep00 step  700/13600: loss = 0.21550
  Ep00 step  800/13600: loss = 0.23042
  Ep00 step  900/13600: loss = 0.23069
  Ep00 step 1000/13600: loss = 0.20765
  Ep00 step 1100/13600: loss = 0.22099
  Ep00 step 1200/13600: loss = 0.20058
  Ep00 step 1300/13600: loss = 0.20216
  Ep00 step 1400/13600: loss = 0.20218
  Ep00 step 1500/13600: loss = 0.19774
  Ep00 step 1600/13600: loss = 0.19559
  Ep00 step 1700/13600: loss = 0.21549
  Ep00 step 1800/13600: loss = 0.19841
  Ep00 step 1900/13600: loss = 0.19177
  Ep00 step 2000/13600: loss = 0.19908
  Ep00 step 2100/13600: loss = 0.20685
  Ep00 step 2200/13600: loss = 0.20138
  Ep00 step 2300/13600: loss = 0.18641
  Ep00 step 2400/13600: loss = 0.21407
  Ep00 step 2500/13600: loss = 0.20278
  Ep00 step 2600/13600: loss = 0.18547
  Ep00 step 2700/13600: loss = 0.19551
  Ep00 step 2800/13600: loss = 0.19823
  Ep00 step 2900/13600: loss = 0.19948
  Ep00 step 3000/13600: loss = 0.18620
  Ep00 step 3100/13600: loss = 0.19563
  Ep00 step 3200/13600: loss = 0.19791
  Ep00 step 3300/13600: loss = 0.18838
  Ep00 step 3400/13600: loss = 0.19596
  Ep00 step 3500/13600: loss = 0.20293
  Ep00 step 3600/13600: loss = 0.18910
  Ep00 step 3700/13600: loss = 0.18843
  Ep00 step 3800/13600: loss = 0.19187
  Ep00 step 3900/13600: loss = 0.17878
  Ep00 step 4000/13600: loss = 0.19175
  Ep00 step 4100/13600: loss = 0.19418
  Ep00 step 4200/13600: loss = 0.18308
  Ep00 step 4300/13600: loss = 0.17993
  Ep00 step 4400/13600: loss = 0.18323
  Ep00 step 4500/13600: loss = 0.18876
  Ep00 step 4600/13600: loss = 0.19017
  Ep00 step 4700/13600: loss = 0.20070
  Ep00 step 4800/13600: loss = 0.17962
  Ep00 step 4900/13600: loss = 0.16476
  Ep00 step 5000/13600: loss = 0.19095
  Ep00 step 5100/13600: loss = 0.16867
  Ep00 step 5200/13600: loss = 0.18443
  Ep00 step 5300/13600: loss = 0.17020
  Ep00 step 5400/13600: loss = 0.17932
  Ep00 step 5500/13600: loss = 0.18835
  Ep00 step 5600/13600: loss = 0.17682
  Ep00 step 5700/13600: loss = 0.17045
  Ep00 step 5800/13600: loss = 0.17974
  Ep00 step 5900/13600: loss = 0.17153
  Ep00 step 6000/13600: loss = 0.16851
  Ep00 step 6100/13600: loss = 0.17792
  Ep00 step 6200/13600: loss = 0.17554
  Ep00 step 6300/13600: loss = 0.17389
  Ep00 step 6400/13600: loss = 0.16184
  Ep00 step 6500/13600: loss = 0.17587
  Ep00 step 6600/13600: loss = 0.18793
  Ep00 step 6700/13600: loss = 0.18470
  Ep00 step 6800/13600: loss = 0.17843
  Ep00 step 6900/13600: loss = 0.17658
  Ep00 step 7000/13600: loss = 0.17821
  Ep00 step 7100/13600: loss = 0.18247
  Ep00 step 7200/13600: loss = 0.16241
  Ep00 step 7300/13600: loss = 0.18675
  Ep00 step 7400/13600: loss = 0.18102
  Ep00 step 7500/13600: loss = 0.16780
  Ep00 step 7600/13600: loss = 0.17699
  Ep00 step 7700/13600: loss = 0.17756
  Ep00 step 7800/13600: loss = 0.17046
  Ep00 step 7900/13600: loss = 0.17760
  Ep00 step 8000/13600: loss = 0.18450
  Ep00 step 8100/13600: loss = 0.17668
  Ep00 step 8200/13600: loss = 0.18116
  Ep00 step 8300/13600: loss = 0.18199
  Ep00 step 8400/13600: loss = 0.17293
  Ep00 step 8500/13600: loss = 0.17974
  Ep00 step 8600/13600: loss = 0.18804
  Ep00 step 8700/13600: loss = 0.17293
  Ep00 step 8800/13600: loss = 0.17425
  Ep00 step 8900/13600: loss = 0.16624
  Ep00 step 9000/13600: loss = 0.17749
  Ep00 step 9100/13600: loss = 0.18235
  Ep00 step 9200/13600: loss = 0.17565
  Ep00 step 9300/13600: loss = 0.17022
  Ep00 step 9400/13600: loss = 0.18234
  Ep00 step 9500/13600: loss = 0.17862
  Ep00 step 9600/13600: loss = 0.17324
  Ep00 step 9700/13600: loss = 0.17630
  Ep00 step 9800/13600: loss = 0.17425
  Ep00 step 9900/13600: loss = 0.17583
  Ep00 step 10000/13600: loss = 0.16822
  Ep00 step 10100/13600: loss = 0.17932
  Ep00 step 10200/13600: loss = 0.18096
  Ep00 step 10300/13600: loss = 0.17722
  Ep00 step 10400/13600: loss = 0.16567
  Ep00 step 10500/13600: loss = 0.17085
  Ep00 step 10600/13600: loss = 0.16962
  Ep00 step 10700/13600: loss = 0.17174
  Ep00 step 10800/13600: loss = 0.17301
  Ep00 step 10900/13600: loss = 0.16204
  Ep00 step 11000/13600: loss = 0.17864
  Ep00 step 11100/13600: loss = 0.16310
  Ep00 step 11200/13600: loss = 0.17381
  Ep00 step 11300/13600: loss = 0.17689
  Ep00 step 11400/13600: loss = 0.17748
  Ep00 step 11500/13600: loss = 0.17788
  Ep00 step 11600/13600: loss = 0.18299
  Ep00 step 11700/13600: loss = 0.18214
  Ep00 step 11800/13600: loss = 0.17122
  Ep00 step 11900/13600: loss = 0.18060
  Ep00 step 12000/13600: loss = 0.16860
  Ep00 step 12100/13600: loss = 0.16758
  Ep00 step 12200/13600: loss = 0.18161
  Ep00 step 12300/13600: loss = 0.17060
  Ep00 step 12400/13600: loss = 0.17289
  Ep00 step 12500/13600: loss = 0.16326
  Ep00 step 12600/13600: loss = 0.18211
  Ep00 step 12700/13600: loss = 0.16901
  Ep00 step 12800/13600: loss = 0.16941
  Ep00 step 12900/13600: loss = 0.17942
  Ep00 step 13000/13600: loss = 0.16303
  Ep00 step 13100/13600: loss = 0.16581
  Ep00 step 13200/13600: loss = 0.17327
  Ep00 step 13300/13600: loss = 0.18356
  Ep00 step 13400/13600: loss = 0.16261
  Ep00 step 13500/13600: loss = 0.16260
  Ep00 step 13600/13600: loss = 0.17198

Epoch 00/6 | train=0.18750 val=0.19936 | AUC=['0.991', '0.985', '0.980', '0.980'] PR=['0.945', '0.938', '0.930', '0.939'] | CASCADE-only AUC=['0.987', '0.979', '0.974', '0.974'] PR=['0.878', '0.885', '0.880', '0.901'] | mono_viol=0.00000 | 919s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.19936)
  Ep01 step  100/13600: loss = 0.17219
  Ep01 step  200/13600: loss = 0.16859
  Ep01 step  300/13600: loss = 0.18311
  Ep01 step  400/13600: loss = 0.17582
  Ep01 step  500/13600: loss = 0.14928
  Ep01 step  600/13600: loss = 0.17612
  Ep01 step  700/13600: loss = 0.16271
  Ep01 step  800/13600: loss = 0.17514
  Ep01 step  900/13600: loss = 0.17711
  Ep01 step 1000/13600: loss = 0.15187
  Ep01 step 1100/13600: loss = 0.17555
  Ep01 step 1200/13600: loss = 0.17939
  Ep01 step 1300/13600: loss = 0.17048
  Ep01 step 1400/13600: loss = 0.17401
  Ep01 step 1500/13600: loss = 0.17819
  Ep01 step 1600/13600: loss = 0.16884
  Ep01 step 1700/13600: loss = 0.16217
  Ep01 step 1800/13600: loss = 0.18536
  Ep01 step 1900/13600: loss = 0.17649
  Ep01 step 2000/13600: loss = 0.17829
  Ep01 step 2100/13600: loss = 0.16589
  Ep01 step 2200/13600: loss = 0.17835
  Ep01 step 2300/13600: loss = 0.16224
  Ep01 step 2400/13600: loss = 0.17010
  Ep01 step 2500/13600: loss = 0.17690
  Ep01 step 2600/13600: loss = 0.16862
  Ep01 step 2700/13600: loss = 0.17049
  Ep01 step 2800/13600: loss = 0.18284
  Ep01 step 2900/13600: loss = 0.15536
  Ep01 step 3000/13600: loss = 0.16714
  Ep01 step 3100/13600: loss = 0.15916
  Ep01 step 3200/13600: loss = 0.16494
  Ep01 step 3300/13600: loss = 0.17012
  Ep01 step 3400/13600: loss = 0.17751
  Ep01 step 3500/13600: loss = 0.17113
  Ep01 step 3600/13600: loss = 0.17723
  Ep01 step 3700/13600: loss = 0.16894
  Ep01 step 3800/13600: loss = 0.18441
  Ep01 step 3900/13600: loss = 0.17346
  Ep01 step 4000/13600: loss = 0.16707
  Ep01 step 4100/13600: loss = 0.16708
  Ep01 step 4200/13600: loss = 0.17700
  Ep01 step 4300/13600: loss = 0.15913
  Ep01 step 4400/13600: loss = 0.17789
  Ep01 step 4500/13600: loss = 0.16100
  Ep01 step 4600/13600: loss = 0.16384
  Ep01 step 4700/13600: loss = 0.17078
  Ep01 step 4800/13600: loss = 0.16617
  Ep01 step 4900/13600: loss = 0.16935
  Ep01 step 5000/13600: loss = 0.15375
  Ep01 step 5100/13600: loss = 0.17137
  Ep01 step 5200/13600: loss = 0.16220
  Ep01 step 5300/13600: loss = 0.16788
