arm=dynamic_timing  head=hazard  labels=/scratch/tj2587/results/dynamic_v1/arrival_h360  timing=1  ckpt=/scratch/tj2587/results/gnn_hazard_v1/dynamic_timing  smoke=0
[gate] CUDA OK: NVIDIA L40S
[gate] heterodata data/graph/nyc_infra_heterodata_v1_frozen_failover_edges.pt: {'power': 203, 'telecom': 4150, 'hospital': 61, 'subway': 493, 'water': 137, 'fuel': 1187} total=6231 -> OK
[gate] /scratch/tj2587/results/dynamic_v1/arrival_h360 cascade_results files: 23 (need 23)
[gate] timing table OK: 6942 rows
[gate] head switch present: ('independent', 'hazard')
=== TRAIN MODE — full training ===
Train: 13600  Val: 3400  (17 scenarios) | Test held-out: ['geoclaw_2050', 'syn_ts_914_6_1p2955', 'syn_ts_258_9_3p0022', 'syn_ts_605_5_3p7563', 'syn_ts_808_27_3p7885'] (5000 runs)
Model parameters: 697,112  head=hazard
Device: cuda
[timing-features] loaded 23 scenarios from data/flood/timing/node_timing_jesse22_v1.csv (features ('arrival_h', 'duration_h', 'time_to_peak_h'), scaled by 96 h)
  Ep00 step  100/13600: loss = 0.47451
  Ep00 step  200/13600: loss = 0.33526
  Ep00 step  300/13600: loss = 0.25128
  Ep00 step  400/13600: loss = 0.25977
  Ep00 step  500/13600: loss = 0.23710
  Ep00 step  600/13600: loss = 0.21933
  Ep00 step  700/13600: loss = 0.20802
  Ep00 step  800/13600: loss = 0.22572
  Ep00 step  900/13600: loss = 0.22331
  Ep00 step 1000/13600: loss = 0.19987
  Ep00 step 1100/13600: loss = 0.21138
  Ep00 step 1200/13600: loss = 0.19044
  Ep00 step 1300/13600: loss = 0.19283
  Ep00 step 1400/13600: loss = 0.19149
  Ep00 step 1500/13600: loss = 0.18904
  Ep00 step 1600/13600: loss = 0.18357
  Ep00 step 1700/13600: loss = 0.20252
  Ep00 step 1800/13600: loss = 0.18359
  Ep00 step 1900/13600: loss = 0.17590
  Ep00 step 2000/13600: loss = 0.18357
  Ep00 step 2100/13600: loss = 0.19673
  Ep00 step 2200/13600: loss = 0.18707
  Ep00 step 2300/13600: loss = 0.16897
  Ep00 step 2400/13600: loss = 0.19428
  Ep00 step 2500/13600: loss = 0.18519
  Ep00 step 2600/13600: loss = 0.17227
  Ep00 step 2700/13600: loss = 0.17520
  Ep00 step 2800/13600: loss = 0.18060
  Ep00 step 2900/13600: loss = 0.18168
  Ep00 step 3000/13600: loss = 0.17406
  Ep00 step 3100/13600: loss = 0.17705
  Ep00 step 3200/13600: loss = 0.17844
  Ep00 step 3300/13600: loss = 0.16916
  Ep00 step 3400/13600: loss = 0.17657
  Ep00 step 3500/13600: loss = 0.18352
  Ep00 step 3600/13600: loss = 0.17169
  Ep00 step 3700/13600: loss = 0.17125
  Ep00 step 3800/13600: loss = 0.17061
  Ep00 step 3900/13600: loss = 0.15979
  Ep00 step 4000/13600: loss = 0.17437
  Ep00 step 4100/13600: loss = 0.17408
  Ep00 step 4200/13600: loss = 0.16760
  Ep00 step 4300/13600: loss = 0.16289
  Ep00 step 4400/13600: loss = 0.16769
  Ep00 step 4500/13600: loss = 0.17115
  Ep00 step 4600/13600: loss = 0.16857
  Ep00 step 4700/13600: loss = 0.18306
  Ep00 step 4800/13600: loss = 0.16139
  Ep00 step 4900/13600: loss = 0.14495
  Ep00 step 5000/13600: loss = 0.17285
  Ep00 step 5100/13600: loss = 0.15070
  Ep00 step 5200/13600: loss = 0.16756
  Ep00 step 5300/13600: loss = 0.15228
  Ep00 step 5400/13600: loss = 0.16218
  Ep00 step 5500/13600: loss = 0.17115
  Ep00 step 5600/13600: loss = 0.15883
  Ep00 step 5700/13600: loss = 0.15617
  Ep00 step 5800/13600: loss = 0.16390
  Ep00 step 5900/13600: loss = 0.15213
  Ep00 step 6000/13600: loss = 0.14671
  Ep00 step 6100/13600: loss = 0.15888
  Ep00 step 6200/13600: loss = 0.15401
  Ep00 step 6300/13600: loss = 0.15557
  Ep00 step 6400/13600: loss = 0.14494
  Ep00 step 6500/13600: loss = 0.15703
  Ep00 step 6600/13600: loss = 0.16589
  Ep00 step 6700/13600: loss = 0.16357
  Ep00 step 6800/13600: loss = 0.15819
  Ep00 step 6900/13600: loss = 0.15310
  Ep00 step 7000/13600: loss = 0.16109
  Ep00 step 7100/13600: loss = 0.16351
  Ep00 step 7200/13600: loss = 0.14580
  Ep00 step 7300/13600: loss = 0.16270
  Ep00 step 7400/13600: loss = 0.15825
  Ep00 step 7500/13600: loss = 0.15074
  Ep00 step 7600/13600: loss = 0.15477
  Ep00 step 7700/13600: loss = 0.15735
  Ep00 step 7800/13600: loss = 0.14967
  Ep00 step 7900/13600: loss = 0.15531
  Ep00 step 8000/13600: loss = 0.16065
  Ep00 step 8100/13600: loss = 0.16433
  Ep00 step 8200/13600: loss = 0.16166
  Ep00 step 8300/13600: loss = 0.16152
  Ep00 step 8400/13600: loss = 0.15488
  Ep00 step 8500/13600: loss = 0.15990
  Ep00 step 8600/13600: loss = 0.16818
  Ep00 step 8700/13600: loss = 0.15604
  Ep00 step 8800/13600: loss = 0.15298
  Ep00 step 8900/13600: loss = 0.14817
  Ep00 step 9000/13600: loss = 0.15465
  Ep00 step 9100/13600: loss = 0.16282
  Ep00 step 9200/13600: loss = 0.15146
  Ep00 step 9300/13600: loss = 0.15036
  Ep00 step 9400/13600: loss = 0.15754
  Ep00 step 9500/13600: loss = 0.15565
  Ep00 step 9600/13600: loss = 0.15431
  Ep00 step 9700/13600: loss = 0.15585
  Ep00 step 9800/13600: loss = 0.15050
  Ep00 step 9900/13600: loss = 0.15648
  Ep00 step 10000/13600: loss = 0.15365
  Ep00 step 10100/13600: loss = 0.15568
  Ep00 step 10200/13600: loss = 0.15986
  Ep00 step 10300/13600: loss = 0.15555
  Ep00 step 10400/13600: loss = 0.14663
  Ep00 step 10500/13600: loss = 0.14755
  Ep00 step 10600/13600: loss = 0.14766
  Ep00 step 10700/13600: loss = 0.14904
  Ep00 step 10800/13600: loss = 0.15065
  Ep00 step 10900/13600: loss = 0.14612
  Ep00 step 11000/13600: loss = 0.15558
  Ep00 step 11100/13600: loss = 0.14179
  Ep00 step 11200/13600: loss = 0.15238
  Ep00 step 11300/13600: loss = 0.15801
  Ep00 step 11400/13600: loss = 0.15590
  Ep00 step 11500/13600: loss = 0.15552
  Ep00 step 11600/13600: loss = 0.15786
  Ep00 step 11700/13600: loss = 0.15816
  Ep00 step 11800/13600: loss = 0.14757
  Ep00 step 11900/13600: loss = 0.15432
  Ep00 step 12000/13600: loss = 0.14578
  Ep00 step 12100/13600: loss = 0.15088
  Ep00 step 12200/13600: loss = 0.15760
  Ep00 step 12300/13600: loss = 0.14639
  Ep00 step 12400/13600: loss = 0.15261
  Ep00 step 12500/13600: loss = 0.14414
  Ep00 step 12600/13600: loss = 0.16113
  Ep00 step 12700/13600: loss = 0.14762
  Ep00 step 12800/13600: loss = 0.15182
  Ep00 step 12900/13600: loss = 0.15874
  Ep00 step 13000/13600: loss = 0.14875
  Ep00 step 13100/13600: loss = 0.14485
  Ep00 step 13200/13600: loss = 0.15251
  Ep00 step 13300/13600: loss = 0.16248
  Ep00 step 13400/13600: loss = 0.14208
  Ep00 step 13500/13600: loss = 0.14217
  Ep00 step 13600/13600: loss = 0.15445

Epoch 00/6 | train=0.16959 val=0.17307 | AUC=['0.993', '0.986', '0.981', '0.981'] PR=['0.954', '0.943', '0.932', '0.941'] | CASCADE-only AUC=['0.990', '0.981', '0.976', '0.975'] PR=['0.898', '0.894', '0.883', '0.903'] | mono_viol=0.00000 | 719s

  [checkpoint] best.pt updated (epoch 0, val_loss=0.17307)
  Ep01 step  100/13600: loss = 0.15016
  Ep01 step  200/13600: loss = 0.15349
  Ep01 step  300/13600: loss = 0.16039
  Ep01 step  400/13600: loss = 0.15200
  Ep01 step  500/13600: loss = 0.13356
  Ep01 step  600/13600: loss = 0.15240
  Ep01 step  700/13600: loss = 0.14179
  Ep01 step  800/13600: loss = 0.15064
  Ep01 step  900/13600: loss = 0.15690
  Ep01 step 1000/13600: loss = 0.13621
  Ep01 step 1100/13600: loss = 0.15253
  Ep01 step 1200/13600: loss = 0.16192
  Ep01 step 1300/13600: loss = 0.15250
  Ep01 step 1400/13600: loss = 0.14990
  Ep01 step 1500/13600: loss = 0.15471
  Ep01 step 1600/13600: loss = 0.14974
  Ep01 step 1700/13600: loss = 0.14556
  Ep01 step 1800/13600: loss = 0.16029
  Ep01 step 1900/13600: loss = 0.15722
  Ep01 step 2000/13600: loss = 0.15691
  Ep01 step 2100/13600: loss = 0.14548
  Ep01 step 2200/13600: loss = 0.15885
  Ep01 step 2300/13600: loss = 0.14525
  Ep01 step 2400/13600: loss = 0.14844
  Ep01 step 2500/13600: loss = 0.15447
  Ep01 step 2600/13600: loss = 0.14865
  Ep01 step 2700/13600: loss = 0.14675
  Ep01 step 2800/13600: loss = 0.16227
  Ep01 step 2900/13600: loss = 0.13700
  Ep01 step 3000/13600: loss = 0.14779
  Ep01 step 3100/13600: loss = 0.13792
  Ep01 step 3200/13600: loss = 0.14356
  Ep01 step 3300/13600: loss = 0.14954
  Ep01 step 3400/13600: loss = 0.15559
  Ep01 step 3500/13600: loss = 0.15377
  Ep01 step 3600/13600: loss = 0.15448
  Ep01 step 3700/13600: loss = 0.14795
  Ep01 step 3800/13600: loss = 0.16151
  Ep01 step 3900/13600: loss = 0.15967
  Ep01 step 4000/13600: loss = 0.14803
  Ep01 step 4100/13600: loss = 0.14571
  Ep01 step 4200/13600: loss = 0.15146
  Ep01 step 4300/13600: loss = 0.13726
  Ep01 step 4400/13600: loss = 0.15693
  Ep01 step 4500/13600: loss = 0.14023
  Ep01 step 4600/13600: loss = 0.14537
  Ep01 step 4700/13600: loss = 0.15079
  Ep01 step 4800/13600: loss = 0.14825
