node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality
subway_2_av_f,subway,40.7234,-73.98994,0.0,1.0,0.0
telecom_cluster_02635,telecom,40.7141,-73.96838,0.0,1.0,0.0
telecom_cluster_02637,telecom,40.716,-73.961,0.0,1.0,0.0
telecom_cluster_02693,telecom,40.7208,-73.962,0.0,1.0,0.0
telecom_cluster_02743,telecom,40.7264,-73.9664,0.0,1.0,0.0
telecom_cluster_02795,telecom,40.7291,-73.9671,0.0,1.0,0.0
telecom_cluster_02840,telecom,40.7357,-73.97207,0.0,1.0,0.0
telecom_cluster_02841,telecom,40.7339,-73.9645,0.0,1.0,0.0
telecom_cluster_02897,telecom,40.73884,-73.98014,0.0,1.0,0.0
telecom_cluster_02899,telecom,40.74036,-73.97154,0.0,1.0,0.0
telecom_cluster_02953,telecom,40.74603,-73.98119,0.0,1.0,0.0
telecom_cluster_02954,telecom,40.74477,-73.97417,0.0,1.0,0.0
telecom_cluster_02955,telecom,40.74551,-73.97072,0.0,1.0,0.0
telecom_cluster_02956,telecom,40.7449,-73.9638,0.0,1.0,0.0
telecom_cluster_03017,telecom,40.75113,-73.9755,0.0,1.0,0.0
telecom_cluster_00744,telecom,40.73997,-73.98113,0.0,0.999,0.0
telecom_cluster_02898,telecom,40.74043,-73.97459,0.0,0.999,0.0
hospital_nyu_langone_hospitals,hospital,40.74147,-73.97362,0.0,0.998,0.0
telecom_cluster_00614,telecom,40.7247,-73.98705,0.0,0.998,0.0
telecom_cluster_00656,telecom,40.73002,-73.98957,0.0,0.998,0.0
telecom_cluster_00658,telecom,40.7285,-73.9786,0.0,0.998,0.0
telecom_cluster_00700,telecom,40.7345,-73.98665,0.0,0.998,0.0
telecom_cluster_00701,telecom,40.7366,-73.9792,0.0,0.998,0.0
telecom_cluster_00745,telecom,40.7397,-73.9732,0.0,0.998,0.0
telecom_cluster_02689,telecom,40.72072,-73.98071,0.0,0.998,0.0
telecom_cluster_02690,telecom,40.71999,-73.97507,0.0,0.998,0.0
telecom_cluster_02691,telecom,40.7199,-73.97047,0.0,0.998,0.0
telecom_cluster_02738,telecom,40.72473,-73.98983,0.0,0.998,0.0
telecom_cluster_02739,telecom,40.72488,-73.98506,0.0,0.998,0.0
telecom_cluster_02742,telecom,40.72622,-73.97106,0.0,0.998,0.0
telecom_cluster_02789,telecom,40.72883,-73.99398,0.0,0.998,0.0
telecom_cluster_02790,telecom,40.73027,-73.98991,0.0,0.998,0.0
telecom_cluster_02791,telecom,40.7295,-73.98499,0.0,0.998,0.0
telecom_cluster_02792,telecom,40.73001,-73.98033,0.0,0.998,0.0
telecom_cluster_02837,telecom,40.73473,-73.98494,0.0,0.998,0.0
telecom_cluster_02838,telecom,40.73541,-73.97963,0.0,0.998,0.0
telecom_cluster_04139,telecom,40.722,-73.9811,0.0,0.998,0.0
telecom_cluster_04141,telecom,40.7352,-73.9911,0.0,0.998,0.0
water_manhattan_sewage_pump_station,water,40.72632,-73.97354,0.0,0.998,0.0
hospital_bellevue_hospital_center,hospital,40.73925,-73.97549,0.0,0.997,0.0
hospital_nyu_langone_orthopedic_hospital,hospital,40.73439,-73.98297,0.0,0.997,0.0
telecom_cluster_00541,telecom,40.71516,-73.951,0.0,0.997,0.0
telecom_cluster_02536,telecom,40.7064,-73.9439,0.0,0.997,0.0
