radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,310,410,2399,30551819,0,-73.9917,40.736,1202,26,1,1404264894,1747521370,0
LTE,310,410,2399,30551826,0,-73.9916,40.7351,538,50,1,1404264894,1730541677,0
LTE,310,410,2399,28530193,0,-73.992,40.7229,4946,8,1,1404264894,1769229422,0
LTE,310,410,2399,28503816,0,-73.9902,40.7371,1919,15,1,1404264894,1747521370,0
LTE,310,410,2399,29222672,0,-73.9912,40.7356,4806,50,1,1404264894,1730541682,0
LTE,310,410,2411,28441873,0,-74.0004,40.7208,1757,5,1,1410965198,1730541677,0
LTE,310,410,2409,30471444,0,-73.9846,40.741,710,43,1,1411945327,1770416041,0
LTE,310,410,2410,29240841,0,-73.9851,40.7503,500,50,1,1420242707,1747354202,0
LTE,310,410,2399,28503817,0,-73.9912,40.7349,1000,14,1,1431891445,1768860482,0
LTE,310,410,2348,30560779,0,-73.9971,40.7313,1000,21,1,1442068485,1747499462,0
LTE,310,410,2348,28420873,0,-73.9993,40.7303,523,27,1,1442068485,1747499462,0
LTE,310,410,2348,28420874,0,-74.0039,40.7327,616,50,1,1442407701,1747499462,0
LTE,310,410,2348,29222920,0,-74.0037,40.7333,566,50,1,1442407701,1747499463,0
LTE,310,410,2348,29222922,0,-74.0045,40.7337,500,39,1,1442407701,1747499463,0
LTE,310,410,2348,30468875,0,-74.004,40.7341,500,50,1,1442407701,1747499462,0
LTE,310,410,2450,29219082,0,-73.9846,40.7531,1087,26,1,1442711038,1732360332,0
LTE,310,410,2450,29219081,0,-73.9801,40.7522,1212,50,1,1442711038,1745016744,0
LTE,310,410,2399,28445961,0,-73.9899,40.7326,1142,20,1,1442711039,1768860482,0
LTE,310,410,2333,28502280,0,-73.9998,40.745,1000,10,1,1443479738,1747438281,0
LTE,310,410,2349,28551690,0,-74.0048,40.7369,1657,10,1,1443479739,1747499463,0
LTE,310,410,2332,28501770,0,-74.0142,40.7111,2865,50,1,1443479738,1752695102,0
LTE,310,410,2333,28502281,0,-73.9941,40.7407,1312,50,1,1443479738,1747438281,0
LTE,310,410,2412,28614789,0,-73.9864,40.7388,6651,12,1,1478398015,1758611050,0
LTE,310,410,2438,28617604,0,-73.9796,40.7397,9906,13,1,1458907818,1730541682,0
LTE,310,410,2434,29533448,0,-73.9876,40.7291,575,36,1,1458907817,1768860482,0
LTE,310,410,2434,29277572,0,-73.9825,40.7084,6545,9,1,1458907817,1751330406,0
LTE,310,410,2434,28453904,0,-73.9726,40.7234,2766,18,1,1458907816,1747578782,0
LTE,310,410,2450,29219089,0,-73.9847,40.7542,547,50,1,1458907827,1729402823,0
LTE,310,410,2450,28484616,0,-73.9843,40.7543,845,50,1,1458907826,1729402824,0
LTE,310,410,2450,29730831,0,-73.985,40.7543,1000,18,1,1458907827,1729402823,0
LTE,310,410,2450,29730824,0,-73.9841,40.7533,1000,9,1,1458907827,1729402824,0
LTE,310,410,2332,28404605,0,-74.0155,40.7129,1000,9,1,1458962078,1730541678,0
LTE,310,410,2333,28502282,0,-74.002,40.7415,2571,50,1,1458962078,1747438281,0
LTE,310,410,2342,28194313,0,-73.9878,40.7544,1307,41,1,1458962081,1747687445,0
LTE,310,410,2342,28474128,0,-73.9877,40.7544,1000,10,1,1458962081,1729402824,0
LTE,310,410,2342,28788752,0,-73.9819,40.7548,8235,50,1,1458962081,1729402823,0
LTE,310,410,2332,29278084,0,-74.0075,40.7137,2817,15,1,1458962078,1730541680,0
LTE,310,410,2341,28614020,0,-73.9841,40.732,5998,12,1,1458962081,1730541669,0
LTE,310,410,2344,28785936,0,-73.974,40.7532,1000,3,1,1458962082,1745016744,0
LTE,310,410,2349,28765192,0,-74.0084,40.7431,1777,50,1,1458962085,1747438281,0
LTE,310,410,2351,28475656,0,-73.9892,40.7517,3405,50,1,1458962085,1747687445,0
LTE,310,410,2341,28613508,0,-73.9793,40.7472,7662,15,1,1458962081,1754182323,0
LTE,310,410,2349,28508680,0,-74.0066,40.7482,1637,11,1,1458962085,1729402826,0
LTE,310,410,2349,28545544,0,-74.005,40.7467,1925,50,1,1458962085,1736047802,0
LTE,310,410,2351,28782601,0,-73.988,40.7506,3272,18,1,1458962086,1752545587,0
LTE,310,410,2349,28909066,0,-74.0018,40.7547,2151,50,1,1458962085,1729402827,0
LTE,310,410,2349,28551688,0,-74.0059,40.7411,1000,22,1,1458962085,1747499461,0
LTE,310,410,2349,30599691,0,-74.0091,40.7396,1496,50,1,1458962085,1729402826,0
LTE,310,410,2344,28785929,0,-73.9745,40.7527,1000,6,1,1458962082,1745016744,0
LTE,310,410,2348,28548360,0,-73.9896,40.732,1502,7,1,1458962084,1768860482,0
LTE,310,410,2349,28551689,0,-74.0046,40.7382,1000,7,1,1458962085,1747499462,0
LTE,310,410,2349,28316682,0,-74.0015,40.7413,500,50,1,1458962084,1747438281,0
LTE,310,410,2349,30599698,0,-74.01,40.7377,2374,30,1,1458962085,1747438280,0
LTE,310,410,2349,28507400,0,-74.005,40.7381,1543,21,1,1458962085,1747499461,0
LTE,310,410,2349,28476937,0,-74.0015,40.7522,1000,9,1,1458962085,1747438278,0
LTE,310,410,2349,28551696,0,-74.0028,40.7389,1080,14,1,1458962085,1747499462,0
LTE,310,410,2351,28782609,0,-73.996,40.7533,2503,30,1,1458962086,1747692962,0
LTE,310,410,2349,30524939,0,-74.005,40.7542,2850,50,1,1458962085,1747438277,0
LTE,310,410,2351,28475658,0,-73.9914,40.7492,3895,29,1,1458962085,1747687445,0
LTE,310,410,2348,28475144,0,-73.9995,40.7302,500,36,1,1458962084,1747499462,0
LTE,310,410,2349,28545546,0,-74.0069,40.7447,1000,10,1,1458962085,1736047803,0
LTE,310,410,2349,28496656,0,-73.9996,40.7399,1000,22,1,1458962085,1747578725,0
LTE,310,410,2372,28850565,0,-73.9743,40.7394,7015,6,1,1458962108,1728486501,0
LTE,310,410,2399,28503823,0,-73.9913,40.7349,500,50,1,1458962131,1728732245,0
LTE,310,410,2399,28530191,0,-73.9875,40.7326,4477,7,1,1458962131,1730541682,0
LTE,310,410,2399,28445960,0,-73.9901,40.7333,885,25,1,1458962131,1768860482,0
LTE,310,410,2400,29525777,0,-73.9837,40.7433,1000,17,1,1458962132,1770416041,0
LTE,310,410,2400,28782345,0,-73.9762,40.7503,1000,15,1,1458962131,1745016744,0
LTE,310,410,2400,28782351,0,-73.9764,40.7529,2672,36,1,1458962131,1745016744,0
LTE,310,410,2400,28417545,0,-73.9773,40.7441,2543,16,1,1458962131,1769229422,0
LTE,310,410,2409,28614533,0,-73.9856,40.7286,6523,17,1,1458962138,1750005067,0
LTE,310,410,2409,28616068,0,-73.9875,40.7325,4467,10,1,1458962138,1770782701,0
LTE,310,410,2410,28616325,0,-73.982,40.7474,5134,17,1,1458962138,1729402824,0
LTE,310,410,2411,29754383,0,-74.0053,40.7164,1000,14,1,1458962139,1752545587,0
LTE,310,410,2410,28616324,0,-73.9708,40.7451,8275,26,1,1458962138,1747968603,0
LTE,310,410,2411,28441872,0,-74.0016,40.7163,2253,45,1,1458962139,1730541677,0
LTE,310,410,2409,30471443,0,-73.9832,40.7403,1000,14,1,1458962138,1771188781,0
LTE,310,410,2409,28206095,0,-73.9872,40.7448,1036,13,1,1458962138,1747521370,0
LTE,310,410,2409,28450824,0,-73.9825,40.7412,1000,6,1,1458962138,1771188781,0
LTE,310,410,2409,28935433,0,-73.9829,40.7423,500,26,1,1458962138,1769229422,0
LTE,310,410,2409,28206090,0,-73.9885,40.7429,1070,48,1,1458962138,1747521370,0
LTE,310,410,2409,28246794,0,-73.9941,40.7414,2814,15,1,1458962138,1747354203,0
LTE,310,410,2409,28246801,0,-73.9908,40.745,500,39,1,1458962138,1747354203,0
LTE,310,410,2410,28782089,0,-73.9876,40.7521,500,40,1,1458962138,1747354202,0
LTE,310,410,2411,29168906,0,-73.9936,40.7058,5991,21,1,1458962139,1747578726,0
LTE,310,410,2411,28375048,0,-74.0053,40.7144,500,37,1,1458962139,1752545587,0
LTE,310,410,2410,28784394,0,-73.9854,40.7478,500,50,1,1458962139,1746910142,0
LTE,310,410,2410,28782095,0,-73.9871,40.7528,1000,14,1,1458962138,1729402823,0
LTE,310,410,2409,30471436,0,-73.9833,40.7406,1000,15,1,1458962138,1771188781,0
LTE,310,410,2409,28935439,0,-73.9841,40.7419,1000,21,1,1458962138,1771188781,0
LTE,310,410,2409,28616061,0,-73.9885,40.7207,5253,8,1,1458962138,1732360351,0
LTE,310,410,2409,28246792,0,-73.9909,40.7449,3258,50,1,1458962138,1747354203,0
LTE,310,410,2409,28935440,0,-73.9823,40.7427,1000,10,1,1458962138,1771188781,0
LTE,310,410,2409,28526856,0,-73.9914,40.7418,1000,18,1,1458962138,1747521370,0
LTE,310,410,2410,28782096,0,-73.9884,40.7501,1520,9,1,1458962138,1755322150,0
LTE,310,410,2410,28784392,0,-73.9862,40.7477,500,26,1,1458962138,1747521370,0
LTE,310,410,2412,28614788,0,-73.9736,40.7457,8259,22,1,1458962139,1752210483,0
LTE,310,410,2409,28614532,0,-73.9901,40.7409,6914,18,1,1458962138,1756098481,0
LTE,310,410,2409,28935432,0,-73.9845,40.7413,1000,7,1,1458962138,1769638381,0
LTE,310,410,2409,28616069,0,-73.9828,40.7179,8364,14,1,1458962138,1730541683,0
LTE,310,410,2409,28526865,0,-73.9871,40.7391,8127,20,1,1458962138,1730541669,0
LTE,310,410,2411,30494219,0,-73.9971,40.7044,3012,33,1,1458962139,1747578726,0
LTE,310,410,2414,28754309,0,-73.9739,40.7454,7665,19,1,1458962140,1759990022,0
LTE,310,410,2410,28616316,0,-73.988,40.7369,6478,16,1,1458962138,1747968603,0
LTE,310,410,2409,28616070,0,-73.983,40.7445,2383,12,1,1458962138,1729402825,0
LTE,310,410,2349,28453392,0,-73.9993,40.7547,1000,20,1,1464751545,1747438276,0
LTE,310,410,2342,28614276,0,-73.9904,40.7543,8418,24,1,1458962081,1767727555,0
LTE,310,410,2348,29229064,0,-74.002,40.7283,1775,50,1,1465852256,1747499463,0
LTE,310,410,2450,28615813,0,-73.9792,40.7366,9359,26,1,1466183301,1732360351,0
LTE,310,410,2333,28502421,0,-73.9981,40.7486,1000,24,1,1466393114,1747438281,0
LTE,310,410,2361,208941065,0,-74.0101,40.7362,2007,44,1,1467263130,1747438280,0
LTE,310,410,2361,208941072,0,-74.0105,40.7347,2765,48,1,1467263130,1747438280,0
LTE,310,410,2348,29229065,0,-73.9982,40.726,1056,49,1,1467396552,1747521369,0
LTE,310,410,2351,29215637,0,-73.9933,40.753,1000,16,1,1467678381,1747692962,0
LTE,310,410,2400,29525770,0,-73.9837,40.7433,704,31,1,1470197606,1770416041,0
LTE,310,410,2348,28421014,0,-73.9996,40.7312,1066,11,1,1470891962,1747499462,0
LTE,310,410,2399,28503957,0,-73.9898,40.7385,1761,9,1,1472152050,1747521370,0
LTE,310,410,2399,30551960,0,-73.9907,40.7369,1952,40,1,1472152050,1729402824,0
LTE,310,410,2399,28503958,0,-73.9902,40.7343,1148,17,1,1472867161,1768860482,0
LTE,310,410,2348,29229205,0,-74.002,40.7291,1000,8,1,1473037554,1747499463,0
LTE,310,410,2348,28421015,0,-74.0027,40.7312,1000,16,1,1473498428,1747499463,0
LTE,310,410,2333,28502423,0,-74.0016,40.7418,1000,8,1,1474060109,1747499461,0
LTE,310,410,2342,28474262,0,-73.9875,40.7548,1000,18,1,1474117654,1729402823,0
LTE,310,410,2372,28850558,0,-73.9774,40.7308,4402,3,1,1474668255,1730541682,0
LTE,310,410,2409,28616060,0,-73.9883,40.7296,4146,5,1,1474732514,1770782701,0
LTE,310,410,2333,28502422,0,-73.9977,40.7437,1000,19,1,1474762029,1747438281,0
LTE,310,410,2399,28446102,0,-73.9902,40.7324,1000,8,1,1474931187,1768860482,0
LTE,310,410,2349,28429463,0,-73.997,40.7525,1000,8,1,1475287542,1747438275,0
