node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,borough,lat,lon,flood_extreme_2080_depth_m
subway_saratoga_av_3,1.0,0.0,0,0,Saratoga Av,subway,Brooklyn,40.661453,-73.916327,0.6
subway_franklin_st_1,1.0,0.0,0,0,Franklin St,subway,Manhattan,40.719318,-74.006886,0.6
subway_neptune_av_f,1.0,0.0,0,0,Neptune Av,subway,Brooklyn,40.581011,-73.974574,0.6
subway_pennsylvania_av_3,1.0,0.0,0,0,Pennsylvania Av,subway,Queens,40.664635,-73.894895,0.6
telecom_cluster_00578,1.0,0.7,0,6,AT&T cluster,telecom,Manhattan,40.7204,-73.96512,0.8
telecom_cluster_00659,1.0,0.4,0,0,AT&T cluster,telecom,Manhattan,40.73025,-73.9751,0.8
subway_church_av_25,1.0,0.0,0,0,Church Av,subway,Brooklyn,40.650843,-73.949575,0.6
subway_knickerbocker_av_m,1.0,0.0,0,0,Knickerbocker Av,subway,Brooklyn,40.698664,-73.919711,0.6
subway_canal_st_1,1.0,0.0,0,0,Canal St,subway,Manhattan,40.722854,-74.006277,0.6
subway_157_st_1,1.0,0.0,0,0,157 St,subway,Manhattan,40.834041,-73.94489,0.6
telecom_cluster_02692,1.0,0.6,0,0,T-Mobile cluster,telecom,Manhattan,40.720644,-73.964144,0.8
subway_lorimer_st_jm,1.0,0.0,0,0,Lorimer St,subway,Manhattan,40.703869,-73.947408,0.6
subway_canal_st_rw,1.0,0.0,0,0,Canal St,subway,Manhattan,40.719527,-74.001775,0.6
subway_canal_st_nq,1.0,0.0,0,0,Canal St,subway,Manhattan,40.718383,-74.00046,0.6
subway_longwood_av_6,1.0,0.0,0,0,Longwood Av,subway,Bronx,40.816104,-73.896435,0.6
subway_e_149_st_6,1.0,0.0,0,0,E 149 St,subway,Bronx,40.812118,-73.904098,0.6
subway_bay_pkwy_d,1.0,0.0,0,0,Bay Pkwy,subway,Brooklyn,40.601875,-73.993728,0.6
subway_86_st_r,1.0,0.0,0,0,86 St,subway,Brooklyn,40.622687,-74.028398,0.6
subway_flushing_av_g,1.0,0.0,0,0,Flushing Av,subway,Manhattan,40.700377,-73.950234,0.6
subway_w_4_st_wash_sq_abcdefm,1.0,0.0,0,0,W 4 St-Wash Sq,subway,Manhattan,40.732338,-74.000495,0.6
subway_new_lots_av_3,1.0,0.0,0,0,New Lots Av,subway,Queens,40.666235,-73.884079,0.6
subway_gates_av_jz,1.0,0.0,0,0,Gates Av,subway,Brooklyn,40.68963,-73.92227,0.6
subway_jackson_av_25,1.0,0.0,0,0,Jackson Av,subway,Bronx,40.81649,-73.907807,0.6
subway_lexington_av_53_st_ef,1.0,0.0,0,0,Lexington Av/53 St,subway,Manhattan,40.757552,-73.969055,0.6
subway_canal_st_6,1.0,0.0,0,0,Canal St,subway,Manhattan,40.718803,-74.000193,0.6
subway_canal_st_ace,1.0,0.0,0,0,Canal St,subway,Manhattan,40.720824,-74.005229,0.6
subway_bergen_st_fg,1.0,0.0,0,0,Bergen St,subway,Brooklyn,40.686145,-73.990862,0.6
