node_id,name,infra_type,borough,lat,lon,external,flood_moderate_current_depth_m,flood_moderate_2050_depth_m,flood_extreme_2080_depth_m
power_tap140970,Tap140970,power,NJ (external),40.738306,-74.097503,True,0.0,0.0,0.0
power_tap135491,Tap135491,power,Queens,40.662881,-73.708602,False,0.0,0.0,0.0
power_tap135492,Tap135492,power,Queens,40.637483,-73.733018,False,0.0,0.0,0.0
power_tap135493,Tap135493,power,Queens,40.661025,-73.702269,False,0.0,0.0,0.0
power_unknown162554,Unknown162554,power,NJ (external),40.747978,-74.174971,True,0.0,0.0,0.0
power_bergen,Bergen,power,Manhattan,40.834072,-74.016493,False,0.0,0.0,0.0
power_unknown132952,Unknown132952,power,Brooklyn,40.840297,-74.024355,False,0.0,0.0,0.0
power_unknown132953,Unknown132953,power,Brooklyn,40.838403,-74.021738,False,0.0,0.0,0.0
power_maywood,Maywood,power,NJ (external),40.899206,-74.070607,True,0.0,0.0,0.0
power_leonia,Leonia,power,Manhattan,40.868014,-73.991611,False,0.0,0.0,0.0
power_kingsland,Kingsland,power,NJ (external),40.791922,-74.117055,True,0.0,0.0,0.0
power_hvdc_b2b_station_hudson,Hvdc B2B Station Hudson,power,Manhattan,40.832063,-74.012567,False,0.0,0.0,0.0
power_saddle_brook,Saddle Brook,power,NJ (external),40.889048,-74.101109,True,0.0,0.0,0.0
power_essex,Essex,power,NJ (external),40.737196,-74.122388,True,0.0,0.0,0.0
power_newark_switching_station,Newark Switching Station,power,NJ (external),40.733065,-74.17775,True,0.0,0.0,0.0
power_federal_square,Federal Square,power,NJ (external),40.726577,-74.174614,True,0.0,0.0,0.0
power_marion_drive,Marion Drive,power,NJ (external),40.791962,-74.258283,True,0.0,0.0,0.0
power_west_orange,West Orange,power,NJ (external),40.789943,-74.257149,True,0.0,0.0,0.0
power_cedar_grove,Cedar Grove,power,NJ (external),40.868371,-74.221466,True,0.0,0.0,0.0
power_cook_road,Cook Road,power,NJ (external),40.811783,-74.178341,True,0.0,0.0,0.0
power_belleville,Belleville,power,NJ (external),40.802789,-74.142094,True,0.0,0.0,0.0
