node_id,fail_freq,mean_fail_time_h,p50_fail_time_h,p95_fail_time_h,name,infra_type,lat,lon,borough,flood_sandy_depth_m
subway_14_st_fm,1.0,0.0,0,0,14 St,subway,40.738228,-73.996209,Manhattan,0.81
telecom_cluster_0030,1.0,0.3,0,0,AT&T cluster,telecom,40.714767,-73.9907,Manhattan,1.175
subway_brooklyn_bridge_city_hall_456,1.0,0.0,0,0,Brooklyn Bridge-City Hall,subway,40.713065,-74.004131,Manhattan,1.962
telecom_cluster_0050,1.0,0.1,0,0,AT&T cluster,telecom,40.7235,-73.9788,Manhattan,1.175
telecom_cluster_0116,1.0,0.4,0,0,T-Mobile cluster,telecom,40.705714,-73.999595,Manhattan,1.083
telecom_cluster_0084,1.0,0.0,0,0,AT&T cluster,telecom,40.745125,-73.981375,Manhattan,1.962
telecom_cluster_0147,1.0,0.0,0,0,T-Mobile cluster,telecom,40.720033,-74.0006,Manhattan,1.962
subway_23_st_baruch_college_6,1.0,0.0,0,0,23 St-Baruch College,subway,40.739864,-73.986599,Manhattan,1.962
telecom_cluster_0200,1.0,0.0,0,0,T-Mobile cluster,telecom,40.746029,-73.981186,Manhattan,1.962
subway_franklin_st_1,1.0,0.0,0,0,Franklin St,subway,40.719318,-74.006886,Manhattan,1.962
subway_chambers_st_ac,1.0,0.0,0,0,Chambers St,subway,40.714111,-74.008585,Manhattan,1.962
telecom_cluster_0160,1.0,0.1,0,0,T-Mobile cluster,telecom,40.72489,-73.984924,Manhattan,1.175
subway_south_ferry_1,1.0,0.0,0,0,South Ferry,subway,40.702068,-74.013664,Manhattan,1.962
telecom_cluster_0144,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7186,-74.0143,Manhattan,1.962
subway_33_st_6,1.0,0.0,0,0,33 St,subway,40.746081,-73.982076,Manhattan,1.962
telecom_cluster_0202,1.0,0.0,0,0,T-Mobile cluster,telecom,40.745117,-73.971642,Manhattan,1.962
subway_6_av_l,1.0,0.0,0,0,6 Av,subway,40.737335,-73.996786,Manhattan,0.81
power_east_36th_street,1.0,0.1,0,0,East 36Th Street,power,40.744947,-73.971336,Manhattan,1.962
telecom_cluster_0103,1.0,0.0,0,0,T-Mobile cluster,telecom,40.7011,-74.01885,Manhattan,1.962
telecom_cluster_0020,1.0,0.0,0,0,AT&T cluster,telecom,40.709167,-73.989883,Manhattan,1.962
subway_canal_st_rw,1.0,0.0,0,0,Canal St,subway,40.719527,-74.001775,Manhattan,1.962
subway_14_st_union_sq_456,1.0,0.0,0,0,14 St-Union Sq,subway,40.734673,-73.989951,Manhattan,1.19
telecom_cluster_0170,1.0,0.4,0,0,T-Mobile cluster,telecom,40.729497,-73.984994,Manhattan,0.852
subway_delancey_st_essex_st_f,1.0,0.0,0,0,Delancey St-Essex St,subway,40.718611,-73.988114,Manhattan,1.175
telecom_cluster_0027,1.0,0.0,0,0,AT&T cluster,telecom,40.714938,-74.0057,Manhattan,1.962
subway_christopher_st_stonewall_1,1.0,0.0,0,0,Christopher St-Stonewall,subway,40.733422,-74.002906,Manhattan,1.161
telecom_cluster_0037,1.0,0.0,0,0,AT&T cluster,telecom,40.720333,-74.005783,Manhattan,1.962
telecom_cluster_0172,1.0,0.3,0,0,T-Mobile cluster,telecom,40.7299,-73.9747,Manhattan,0.852
telecom_cluster_0028,1.0,0.0,0,0,AT&T cluster,telecom,40.714567,-73.999433,Manhattan,1.962
telecom_cluster_0035,1.0,0.0,0,0,AT&T cluster,telecom,40.7178,-74.0126,Manhattan,1.962
telecom_cluster_0046,1.0,0.0,0,0,AT&T cluster,telecom,40.724496,-74.000108,Manhattan,1.962
telecom_cluster_0138,1.0,0.4,0,0,T-Mobile cluster,telecom,40.714828,-73.99045,Manhattan,1.175
telecom_cluster_0208,1.0,0.0,0,0,T-Mobile cluster,telecom,40.750241,-73.985269,Manhattan,1.962
subway_2_av_f,1.0,0.0,0,0,2 Av,subway,40.723402,-73.989938,Manhattan,1.175
subway_8_av_l,1.0,0.0,0,0,8 Av,subway,40.739777,-74.002578,Manhattan,0.81
subway_1_av_l,1.0,0.0,0,0,1 Av,subway,40.730953,-73.981628,Manhattan,0.852
subway_spring_st_ce,1.0,0.0,0,0,Spring St,subway,40.726227,-74.003739,Manhattan,1.962
telecom_cluster_0148,1.0,0.1,0,0,T-Mobile cluster,telecom,40.71898,-73.99424,Manhattan,1.962
telecom_cluster_0049,1.0,0.1,0,0,AT&T cluster,telecom,40.7247,-73.98705,Manhattan,1.175
telecom_cluster_0056,1.0,0.0,0,0,AT&T cluster,telecom,40.729575,-73.994675,Manhattan,1.962
telecom_cluster_0059,1.0,0.1,0,0,AT&T cluster,telecom,40.7285,-73.9786,Manhattan,1.175
subway_park_place_23,1.0,0.0,0,0,Park Place,subway,40.713051,-74.008811,Manhattan,1.962
telecom_cluster_0146,1.0,0.1,0,0,T-Mobile cluster,telecom,40.719818,-74.004836,Manhattan,1.962
subway_wall_st_45,1.0,0.0,0,0,Wall St,subway,40.707557,-74.011862,Manhattan,1.962
telecom_cluster_0041,1.0,0.3,0,0,AT&T cluster,telecom,40.71915,-73.9841,Manhattan,1.175
telecom_cluster_0040,1.0,0.2,0,0,AT&T cluster,telecom,40.720543,-73.990357,Manhattan,1.175
telecom_cluster_0199,1.0,0.0,0,0,T-Mobile cluster,telecom,40.745633,-73.985588,Manhattan,1.962
telecom_cluster_0038,1.0,0.0,0,0,AT&T cluster,telecom,40.7202,-73.9993,Manhattan,1.962
telecom_cluster_0113,1.0,0.0,0,0,T-Mobile cluster,telecom,40.70525,-74.014627,Manhattan,1.962
