node_id,name,infra_type,lat,lon,borough,flood_sandy_depth_m
power_hudson_avenue,Hudson Avenue,power,40.703809,-73.981736,Manhattan,0.0
power_farragut,Farragut,power,40.705099,-73.984511,Manhattan,0.0
power_water_street,Water Street,power,40.70337,-73.981883,Manhattan,0.0
power_east_13th_street,East 13Th Street,power,40.727544,-73.974622,Manhattan,1.175
power_leonard_street,Leonard Street,power,40.718405,-74.006499,Manhattan,1.962
power_east_36th_street,East 36Th Street,power,40.744947,-73.971336,Manhattan,1.962
power_west_19th_street,West 19Th Street,power,40.741239,-73.997332,Manhattan,0.0
power_cherry_street,Cherry Street,power,40.71137,-73.990686,Manhattan,0.0
power_plymouth,Plymouth,power,40.703987,-73.983429,Manhattan,0.0
power_gowanus,Gowanus,power,40.661952,-74.00302,Manhattan,0.0
power_jamaica,Jamaica,power,40.699185,-73.813908,Manhattan,0.0
power_rainey,Rainey,power,40.763225,-73.943026,Manhattan,0.0
power_west_49th_street,West 49Th Street,power,40.766003,-73.995884,Manhattan,0.0
power_marion,Marion,power,40.746443,-74.069915,Manhattan,0.0
telecom_cluster_0000,AT&T cluster,telecom,40.702225,-74.013425,Manhattan,1.962
telecom_cluster_0001,AT&T cluster,telecom,40.7016,-74.011525,Manhattan,1.962
telecom_cluster_0002,AT&T cluster,telecom,40.7008,-74.0044,Manhattan,0.0
telecom_cluster_0003,AT&T cluster,telecom,40.701225,-73.99445,Manhattan,0.0
telecom_cluster_0004,AT&T cluster,telecom,40.7012,-73.98944,Manhattan,0.0
telecom_cluster_0005,AT&T cluster,telecom,40.701143,-73.985829,Manhattan,0.0
telecom_cluster_0006,AT&T cluster,telecom,40.701033,-73.9806,Manhattan,0.0
telecom_cluster_0007,AT&T cluster,telecom,40.70495,-74.0136,Manhattan,1.962
telecom_cluster_0008,AT&T cluster,telecom,40.705633,-74.0092,Manhattan,1.962
telecom_cluster_0009,AT&T cluster,telecom,40.7031,-74.0074,Manhattan,1.962
telecom_cluster_0010,AT&T cluster,telecom,40.703767,-73.999033,Manhattan,1.083
telecom_cluster_0011,AT&T cluster,telecom,40.704758,-73.99525,Manhattan,1.083
telecom_cluster_0012,AT&T cluster,telecom,40.70487,-73.98917,Manhattan,0.0
telecom_cluster_0013,AT&T cluster,telecom,40.705775,-73.985075,Manhattan,0.0
telecom_cluster_0014,AT&T cluster,telecom,40.7034,-73.9814,Manhattan,0.0
telecom_cluster_0015,AT&T cluster,telecom,40.710593,-74.013364,Manhattan,1.962
telecom_cluster_0016,AT&T cluster,telecom,40.709467,-74.01024,Manhattan,0.0
telecom_cluster_0017,AT&T cluster,telecom,40.7117,-74.0031,Manhattan,0.0
telecom_cluster_0018,AT&T cluster,telecom,40.709967,-73.999667,Manhattan,1.962
telecom_cluster_0019,AT&T cluster,telecom,40.711017,-73.993817,Manhattan,0.0
telecom_cluster_0020,AT&T cluster,telecom,40.709167,-73.989883,Manhattan,1.962
telecom_cluster_0021,AT&T cluster,telecom,40.709443,-73.985314,Manhattan,1.962
telecom_cluster_0022,AT&T cluster,telecom,40.709767,-73.979833,Manhattan,0.0
telecom_cluster_0023,AT&T cluster,telecom,40.7117,-73.9748,Manhattan,0.0
telecom_cluster_0024,AT&T cluster,telecom,40.7111,-73.9718,Manhattan,0.0
telecom_cluster_0025,AT&T cluster,telecom,40.7139,-74.0145,Manhattan,1.962
telecom_cluster_0026,AT&T cluster,telecom,40.71585,-74.00805,Manhattan,1.962
telecom_cluster_0027,AT&T cluster,telecom,40.714938,-74.0057,Manhattan,1.962
telecom_cluster_0028,AT&T cluster,telecom,40.714567,-73.999433,Manhattan,1.962
telecom_cluster_0029,AT&T cluster,telecom,40.713327,-73.994032,Manhattan,0.0
telecom_cluster_0030,AT&T cluster,telecom,40.714767,-73.9907,Manhattan,1.175
telecom_cluster_0031,AT&T cluster,telecom,40.715525,-73.98355,Manhattan,1.175
telecom_cluster_0032,AT&T cluster,telecom,40.71554,-73.98004,Manhattan,1.175
telecom_cluster_0033,AT&T cluster,telecom,40.714875,-73.974275,Manhattan,1.175
telecom_cluster_0034,AT&T cluster,telecom,40.71485,-73.9711,Manhattan,0.0
telecom_cluster_0035,AT&T cluster,telecom,40.7178,-74.0126,Manhattan,1.962
telecom_cluster_0036,AT&T cluster,telecom,40.72136,-74.01094,Manhattan,1.962
telecom_cluster_0037,AT&T cluster,telecom,40.720333,-74.005783,Manhattan,1.962
telecom_cluster_0038,AT&T cluster,telecom,40.7202,-73.9993,Manhattan,1.962
telecom_cluster_0039,AT&T cluster,telecom,40.720517,-73.994267,Manhattan,1.962
telecom_cluster_0040,AT&T cluster,telecom,40.720543,-73.990357,Manhattan,1.175
telecom_cluster_0041,AT&T cluster,telecom,40.71915,-73.9841,Manhattan,1.175
telecom_cluster_0042,AT&T cluster,telecom,40.719067,-73.976067,Manhattan,1.175
telecom_cluster_0043,AT&T cluster,telecom,40.7184,-73.9711,Manhattan,0.0
telecom_cluster_0044,AT&T cluster,telecom,40.72355,-74.0097,Manhattan,1.962
telecom_cluster_0045,AT&T cluster,telecom,40.724378,-74.005511,Manhattan,1.962
telecom_cluster_0046,AT&T cluster,telecom,40.724496,-74.000108,Manhattan,1.962
telecom_cluster_0047,AT&T cluster,telecom,40.724879,-73.996543,Manhattan,1.962
telecom_cluster_0048,AT&T cluster,telecom,40.723833,-73.98955,Manhattan,1.175
telecom_cluster_0049,AT&T cluster,telecom,40.7247,-73.98705,Manhattan,1.175
telecom_cluster_0050,AT&T cluster,telecom,40.7235,-73.9788,Manhattan,1.175
telecom_cluster_0051,AT&T cluster,telecom,40.7243,-73.973233,Manhattan,1.175
telecom_cluster_0052,AT&T cluster,telecom,40.7256,-73.9718,Manhattan,0.852
telecom_cluster_0053,AT&T cluster,telecom,40.7301,-74.010467,Manhattan,1.962
telecom_cluster_0054,AT&T cluster,telecom,40.730612,-74.004212,Manhattan,1.962
telecom_cluster_0055,AT&T cluster,telecom,40.730335,-74.000276,Manhattan,1.962
telecom_cluster_0056,AT&T cluster,telecom,40.729575,-73.994675,Manhattan,1.962
telecom_cluster_0057,AT&T cluster,telecom,40.730015,-73.98957,Manhattan,0.852
telecom_cluster_0058,AT&T cluster,telecom,40.730375,-73.9855,Manhattan,0.852
telecom_cluster_0059,AT&T cluster,telecom,40.7285,-73.9786,Manhattan,1.175
telecom_cluster_0060,AT&T cluster,telecom,40.73025,-73.9751,Manhattan,0.852
telecom_cluster_0061,AT&T cluster,telecom,40.7298,-73.97045,Manhattan,0.0
telecom_cluster_0062,AT&T cluster,telecom,40.735217,-74.010033,Manhattan,0.81
telecom_cluster_0063,AT&T cluster,telecom,40.734632,-74.004105,Manhattan,0.81
telecom_cluster_0064,AT&T cluster,telecom,40.73515,-73.99975,Manhattan,0.81
telecom_cluster_0065,AT&T cluster,telecom,40.736133,-73.9932,Manhattan,0.81
telecom_cluster_0066,AT&T cluster,telecom,40.735422,-73.990256,Manhattan,0.81
telecom_cluster_0067,AT&T cluster,telecom,40.7345,-73.98665,Manhattan,0.331
telecom_cluster_0068,AT&T cluster,telecom,40.7366,-73.9792,Manhattan,0.331
telecom_cluster_0069,AT&T cluster,telecom,40.7344,-73.9723,Manhattan,0.852
telecom_cluster_0070,AT&T cluster,telecom,40.740714,-74.008964,Manhattan,0.0
telecom_cluster_0071,AT&T cluster,telecom,40.73966,-74.004975,Manhattan,0.81
telecom_cluster_0072,AT&T cluster,telecom,40.741354,-74.001077,Manhattan,0.0
telecom_cluster_0073,AT&T cluster,telecom,40.74105,-73.9941,Manhattan,0.0
telecom_cluster_0074,AT&T cluster,telecom,40.741053,-73.9895,Manhattan,0.0
telecom_cluster_0075,AT&T cluster,telecom,40.740653,-73.984728,Manhattan,1.962
telecom_cluster_0076,AT&T cluster,telecom,40.739967,-73.981133,Manhattan,1.962
telecom_cluster_0077,AT&T cluster,telecom,40.73955,-73.97375,Manhattan,1.962
telecom_cluster_0078,AT&T cluster,telecom,40.7438,-74.00865,Manhattan,0.0
telecom_cluster_0079,AT&T cluster,telecom,40.745336,-74.0059,Manhattan,0.0
telecom_cluster_0080,AT&T cluster,telecom,40.744925,-73.998488,Manhattan,0.0
telecom_cluster_0081,AT&T cluster,telecom,40.744352,-73.99521,Manhattan,0.0
telecom_cluster_0082,AT&T cluster,telecom,40.744995,-73.990043,Manhattan,0.0
telecom_cluster_0083,AT&T cluster,telecom,40.744833,-73.9853,Manhattan,1.962
telecom_cluster_0084,AT&T cluster,telecom,40.745125,-73.981375,Manhattan,1.962
telecom_cluster_0085,AT&T cluster,telecom,40.7446,-73.9746,Manhattan,1.962
telecom_cluster_0086,AT&T cluster,telecom,40.744367,-73.971033,Manhattan,0.0
telecom_cluster_0087,AT&T cluster,telecom,40.75025,-74.007975,Manhattan,0.0
telecom_cluster_0088,AT&T cluster,telecom,40.749143,-74.005157,Manhattan,0.0
telecom_cluster_0089,AT&T cluster,telecom,40.750609,-74.000291,Manhattan,0.0
telecom_cluster_0090,AT&T cluster,telecom,40.750238,-73.994438,Manhattan,0.0
telecom_cluster_0091,AT&T cluster,telecom,40.75022,-73.989155,Manhattan,0.0
telecom_cluster_0092,AT&T cluster,telecom,40.74965,-73.98485,Manhattan,1.962
telecom_cluster_0093,AT&T cluster,telecom,40.7522,-73.9801,Manhattan,0.0
telecom_cluster_0094,AT&T cluster,telecom,40.751175,-73.976575,Manhattan,0.0
telecom_cluster_0095,AT&T cluster,telecom,40.753867,-74.00545,Manhattan,0.0
telecom_cluster_0096,AT&T cluster,telecom,40.754089,-74.000022,Manhattan,0.195
telecom_cluster_0097,AT&T cluster,telecom,40.754,-73.99408,Manhattan,0.0
telecom_cluster_0098,AT&T cluster,telecom,40.753678,-73.9893,Manhattan,0.0
telecom_cluster_0099,AT&T cluster,telecom,40.753895,-73.985721,Manhattan,0.0
telecom_cluster_0100,AT&T cluster,telecom,40.753843,-73.980557,Manhattan,0.0
telecom_cluster_0101,AT&T cluster,telecom,40.752975,-73.97525,Manhattan,0.0
telecom_cluster_0102,AT&T cluster,telecom,40.7528,-73.9709,Manhattan,0.0
telecom_cluster_0103,T-Mobile cluster,telecom,40.7011,-74.01885,Manhattan,1.962
telecom_cluster_0104,T-Mobile cluster,telecom,40.701662,-74.014288,Manhattan,1.962
telecom_cluster_0105,T-Mobile cluster,telecom,40.701986,-74.011614,Manhattan,1.962
telecom_cluster_0106,T-Mobile cluster,telecom,40.7017,-74.0045,Manhattan,0.0
telecom_cluster_0107,T-Mobile cluster,telecom,40.70105,-73.999617,Manhattan,0.0
telecom_cluster_0108,T-Mobile cluster,telecom,40.701041,-73.994868,Manhattan,0.0
telecom_cluster_0109,T-Mobile cluster,telecom,40.701375,-73.990254,Manhattan,0.0
telecom_cluster_0110,T-Mobile cluster,telecom,40.701227,-73.985859,Manhattan,0.0
telecom_cluster_0111,T-Mobile cluster,telecom,40.70154,-73.98114,Manhattan,0.0
telecom_cluster_0112,T-Mobile cluster,telecom,40.703067,-74.018433,Manhattan,1.962
telecom_cluster_0113,T-Mobile cluster,telecom,40.70525,-74.014627,Manhattan,1.962
telecom_cluster_0114,T-Mobile cluster,telecom,40.706113,-74.010393,Manhattan,1.962
